time,gFx,gFy,gFz,ax,ay,az
2022-12-08 18:31:09.0940,0.059,-0.28,-0.785,-0.01,0.09,-1.02
2022-12-08 18:32:01.3280,0.099,-0.298,-0.728,-0.1,0.29,-1.79
2022-12-08 18:32:01.3380,0.111,-0.304,-0.688,-0.46,0.46,-2.35
2022-12-08 18:32:01.3480,0.116,-0.302,-0.655,-0.55,0.54,-2.74
2022-12-08 18:32:01.3580,0.115,-0.299,-0.638,-0.57,0.54,-3.07
2022-12-08 18:32:01.3680,0.138,-0.305,-0.639,-0.53,0.54,-3.24
2022-12-08 18:32:01.3780,0.139,-0.292,-0.658,-0.74,0.66,-3.24
2022-12-08 18:32:01.3880,0.137,-0.246,-0.691,-0.73,0.6,-3.08
2022-12-08 18:32:01.3980,0.113,-0.152,-0.701,-0.7,0.23,-2.77
2022-12-08 18:32:01.4080,0.107,-0.296,-0.756,-0.45,-0.59,-2.69
2022-12-08 18:32:01.4180,0.162,-0.281,-0.843,-0.35,0.92,-2.17
2022-12-08 18:32:01.4280,0.186,-0.219,-0.904,-0.86,0.87,-1.34
2022-12-08 18:32:01.4380,0.151,-0.255,-0.944,-1.06,0.34,-0.75
2022-12-08 18:32:01.4480,0.077,-0.32,-1.012,-0.67,0.76,-0.37
2022-12-08 18:32:01.4580,-0.137,-0.226,-1.121,0.09,1.42,0.3
2022-12-08 18:32:01.4680,-0.005,0.062,-0.821,2.23,0.49,1.37
2022-12-08 18:32:01.4780,0.055,0.006,-0.642,0.99,-2.34,-1.56
2022-12-08 18:32:01.4880,0.028,-0.17,-0.647,0.44,-1.76,-3.32
2022-12-08 18:32:01.4980,0.126,-0.274,-0.698,0.75,0.03,-3.28
2022-12-08 18:32:01.5080,0.346,-0.323,-0.793,-0.15,1.14,-2.78
2022-12-08 18:32:01.5180,0.483,-0.402,-0.944,-2.28,1.72,-1.87
2022-12-08 18:32:01.5280,0.39,-0.44,-1.039,-3.61,2.59,-0.4
2022-12-08 18:32:01.5380,0.272,-0.334,-1.077,-2.71,3.05,0.53
2022-12-08 18:32:01.5480,0.18,-0.206,-1.072,-1.59,2.06,0.89
2022-12-08 18:32:01.5580,0.119,-0.164,-1.1,-0.77,0.84,0.83
2022-12-08 18:32:01.5680,0.067,-0.151,-1.114,-0.27,0.45,1.08
2022-12-08 18:32:01.5780,0.081,-0.192,-1.154,0.11,0.33,1.21
2022-12-08 18:32:01.5880,0.098,-0.201,-1.165,-0.15,0.74,1.6
2022-12-08 18:32:01.5980,0.12,-0.176,-1.17,-0.43,0.82,1.7
2022-12-08 18:32:01.6080,0.144,-0.154,-1.173,-0.75,0.58,1.74
2022-12-08 18:32:01.6190,0.151,-0.142,-1.193,-1.07,0.39,1.76
2022-12-08 18:32:01.6290,0.154,-0.169,-1.211,-1.21,0.29,1.95
2022-12-08 18:32:01.6390,0.154,-0.173,-1.185,-1.29,0.56,2.13
2022-12-08 18:32:01.6480,0.115,-0.137,-1.1,-1.35,0.61,1.87
2022-12-08 18:32:01.6590,0.059,-0.094,-1.013,-1.02,0.28,1.03
2022-12-08 18:32:01.6690,-0.027,-0.033,-0.952,-0.55,-0.1,0.17
2022-12-08 18:32:01.6790,-0.276,0.097,-0.99,0.19,-0.6,-0.43
2022-12-08 18:32:01.6890,-0.386,0.139,-1.193,2.49,-1.74,-0.07
2022-12-08 18:32:01.6990,-0.188,0.162,-1.332,3.44,-2.01,1.91
2022-12-08 18:32:01.7090,-0.056,0.117,-1.407,1.39,-2.13,3.28
2022-12-08 18:32:01.7190,0.345,-0.013,-1.307,0.01,-1.63,4.02
2022-12-08 18:32:01.7290,0.552,-0.292,-1.215,-3.96,-0.34,3.04
2022-12-08 18:32:01.7390,0.136,-0.37,-1.274,-6.05,2.36,2.14
2022-12-08 18:32:01.7490,-0.05,-0.084,-1.17,-2.06,3.04,2.72
2022-12-08 18:32:01.7590,-0.205,0.051,-1.086,-0.38,0.12,1.72
2022-12-08 18:32:01.7690,-0.198,0.046,-1.103,1.0,-1.32,0.92
2022-12-08 18:32:01.7790,-0.131,-0.053,-1.126,0.82,-1.39,1.11
2022-12-08 18:32:01.7890,-0.135,-0.044,-1.084,0.08,-0.51,1.36
2022-12-08 18:32:01.7990,-0.324,0.051,-0.991,0.1,-0.7,0.96
2022-12-08 18:32:01.8090,-0.431,0.133,-0.9,1.94,-1.72,0.06
2022-12-08 18:32:01.8190,-0.403,0.165,-0.846,2.97,-2.65,-0.81
