time,ax,ay,az,wx,wy,wz
2022-12-08 20:8:04.9800,-0.51,0.43,-0.81,-0.23,0.31,-0.04
2022-12-08 20:8:04.9870,-0.87,0.56,-0.44,-0.13,0.34,0.05
2022-12-08 20:8:04.9970,-0.87,0.56,-0.44,-0.09,0.17,0.12
2022-12-08 20:8:05.0080,-1.23,0.96,0.23,-0.07,0.01,0.17
2022-12-08 20:8:05.0170,-1.23,0.96,0.23,-0.01,-0.04,0.17
2022-12-08 20:8:05.0270,-0.85,0.86,-0.05,0.09,-0.05,0.15
2022-12-08 20:8:05.0370,-0.66,0.88,0.11,0.21,-0.04,0.14
2022-12-08 20:8:05.0470,-0.66,0.88,0.11,0.29,-0.05,0.12
2022-12-08 20:8:05.0570,-0.65,0.91,0.18,0.3,-0.02,0.11
2022-12-08 20:8:05.0670,-0.61,0.93,0.08,0.26,0.02,0.11
2022-12-08 20:8:05.0770,-0.6,0.93,-0.09,0.17,0.03,0.13
2022-12-08 20:8:05.0870,-0.56,0.84,0.02,0.1,-0.0,0.15
2022-12-08 20:8:05.0970,-0.56,0.84,0.02,0.06,-0.06,0.16
2022-12-08 20:8:05.1070,-0.65,0.75,0.18,0.07,-0.13,0.18
2022-12-08 20:8:05.1160,-0.71,0.65,0.41,0.11,-0.2,0.2
2022-12-08 20:8:05.1270,-0.66,0.61,0.53,0.12,-0.23,0.21
2022-12-08 20:8:05.1360,-0.37,0.73,0.44,0.07,-0.23,0.19
2022-12-08 20:8:05.1470,-0.37,0.73,0.44,-0.03,-0.16,0.16
2022-12-08 20:8:05.1570,-0.22,0.88,0.42,-0.14,-0.02,0.13
2022-12-08 20:8:05.1660,-0.05,1.07,0.35,-0.19,0.17,0.1
2022-12-08 20:8:05.1760,0.12,1.09,0.37,-0.18,0.38,0.06
2022-12-08 20:8:05.1860,0.14,1.04,0.35,-0.12,0.53,0.04
2022-12-08 20:8:05.1960,0.03,0.98,0.34,-0.05,0.57,0.02
2022-12-08 20:8:05.2060,-0.22,0.9,0.47,0.02,0.56,0.03
2022-12-08 20:8:05.2160,-0.48,0.9,0.42,0.05,0.52,0.05
2022-12-08 20:8:05.2260,-0.61,0.91,0.25,0.03,0.44,0.06
2022-12-08 20:8:05.2360,-0.67,1.02,0.21,-0.02,0.34,0.06
2022-12-08 20:8:05.2460,-0.69,1.06,0.33,-0.09,0.23,0.04
2022-12-08 20:8:05.2560,-0.66,1.13,0.39,-0.13,0.09,0.01
2022-12-08 20:8:05.2660,-0.65,1.1,0.52,-0.13,-0.01,-0.0
2022-12-08 20:8:05.2760,-0.64,1.11,0.56,-0.12,-0.08,-0.02
2022-12-08 20:8:05.2860,-0.6,1.1,0.5,-0.07,-0.1,-0.02
2022-12-08 20:8:05.2960,-0.55,1.15,0.47,-0.04,-0.07,-0.02
2022-12-08 20:8:05.3060,-0.43,1.21,0.35,-0.04,-0.02,-0.03
2022-12-08 20:8:05.3160,-0.31,1.2,0.28,-0.01,0.08,-0.05
2022-12-08 20:8:05.3260,-0.07,1.23,0.5,0.06,0.19,-0.08
2022-12-08 20:8:05.3360,-0.022639395743608477,0.98,0.66,0.12,0.23,-0.12
2022-12-08 20:8:05.3460,-0.03,0.98,0.66,0.16,0.21,-0.15
2022-12-08 20:8:05.3560,-0.19,0.87,0.79,0.16,0.2,-0.15
2022-12-08 20:8:05.3650,-0.38,0.91,0.7,0.13,0.21,-0.12
2022-12-08 20:8:05.3750,-0.43,0.95,0.44,0.08,0.27,-0.06
2022-12-08 20:8:05.3850,-0.30225920509546994,1.13,-0.19,-0.0,0.35,0.02
2022-12-08 20:8:05.3950,-0.31,1.13,-0.19,-0.1,0.43,0.09
2022-12-08 20:8:05.4050,-0.19,1.21,-0.45,-0.19,0.47,0.14
2022-12-08 20:8:05.4150,-0.11,1.25,-0.61,-0.25,0.42,0.17
2022-12-08 20:8:05.4250,-0.18,1.19,-0.62,-0.25,0.29,0.17
2022-12-08 20:8:05.4350,-0.37,1.15,-0.45,-0.18,0.14,0.18
2022-12-08 20:8:05.4450,-0.47,1.34,-0.47,-0.12,0.06,0.18
2022-12-08 20:8:05.4550,-0.38,1.46,-0.68,-0.08,0.05,0.17
2022-12-08 20:8:05.4650,-0.19,1.53,-1.04,-0.08,0.07,0.15
2022-12-08 20:8:05.4750,-0.1,1.68,-1.3,-0.12,0.07,0.13
2022-12-08 20:8:05.4850,-0.07,1.76,-1.27,-0.17,0.03,0.1
2022-12-08 20:8:05.4950,-0.08,1.67,-1.19,-0.18,-0.02,0.07
2022-12-08 20:8:05.5050,-0.13,1.55,-1.13,-0.15,-0.12,0.05
2022-12-08 20:8:05.5150,-0.25,1.49,-0.87,-0.09,-0.21,0.03
2022-12-08 20:8:05.5250,-0.34,1.48,-0.71,-0.02,-0.24,0.03
2022-12-08 20:8:05.5350,-0.28,1.49,-0.85,0.04,-0.2,0.04
2022-12-08 20:8:05.5450,-0.11,1.49,-1.05,0.07,-0.12,0.07
2022-12-08 20:8:05.5550,0.0,1.57,-1.2,0.06,-0.04,0.11
2022-12-08 20:8:05.5650,0.02,1.68,-1.3,0.04,0.01,0.15
2022-12-08 20:8:05.5740,0.0,1.73,-1.22,0.02,0.02,0.17
2022-12-08 20:8:05.5840,-0.02,1.7,-1.08,0.0,0.03,0.17
2022-12-08 20:8:05.5940,0.02,1.73,-0.93,0.01,0.04,0.15
2022-12-08 20:8:05.6040,0.09,1.78,-0.86,0.02,0.09,0.11
2022-12-08 20:8:05.6140,0.11,1.83,-0.89,0.04,0.17,0.06
2022-12-08 20:8:05.6240,0.1,1.89,-0.92,0.05,0.23,0.01
2022-12-08 20:8:05.6340,0.05,1.92,-0.91,0.05,0.21,-0.06
2022-12-08 20:8:05.6440,-0.32,1.87,-0.51,0.03,0.19,-0.12
2022-12-08 20:8:05.6540,-0.32,1.87,-0.51,0.01,0.17,-0.18
2022-12-08 20:8:05.6640,-0.49,1.87,-0.39,-0.03,0.14,-0.2
2022-12-08 20:8:05.6740,-0.53,1.82,0.09,-0.05,0.1,-0.19
2022-12-08 20:8:05.6840,-0.46,1.63,0.36,-0.01,0.05,-0.17
2022-12-08 20:8:05.6940,-0.46,1.63,0.36,0.05,-0.07,-0.16
2022-12-08 20:8:05.7040,-0.41,1.38,0.68,0.15,-0.26,-0.19
2022-12-08 20:8:05.7140,-0.52,1.05,1.15,0.26,-0.46,-0.22
