time,ax,ay,az,wx,wy,wz
2022-12-08 20:10:31.3490,0.02,0.33,0.72,-0.0,-0.25,0.02
2022-12-08 20:10:31.3580,-0.19,0.56,-1.0,0.17,-0.43,0.03
2022-12-08 20:10:31.3680,-0.52,0.01,0.85,0.23,-0.84,0.06
2022-12-08 20:10:31.3780,-0.52,0.01,0.85,0.22,-0.98,0.11
2022-12-08 20:10:31.3880,-0.28,0.61,1.02,0.22,-0.83,0.11
2022-12-08 20:10:31.3980,0.23,0.62,0.74,0.24,-0.55,0.13
2022-12-08 20:10:31.4080,0.68,0.85,0.86,0.25,-0.29,0.14
2022-12-08 20:10:31.4180,0.96,0.97,0.84,0.24,-0.18,0.13
2022-12-08 20:10:31.4280,0.7,0.84,1.04,0.24,-0.17,0.12
2022-12-08 20:10:31.4380,0.5,0.74,0.91,0.22,-0.21,0.11
2022-12-08 20:10:31.4480,0.29,0.74,1.01,0.2,-0.32,0.11
2022-12-08 20:10:31.4580,0.29,0.74,1.01,0.19,-0.46,0.13
2022-12-08 20:10:31.4680,-0.01,0.63,1.13,0.17,-0.59,0.13
2022-12-08 20:10:31.4770,-0.01,0.63,1.13,0.15,-0.64,0.14
2022-12-08 20:10:31.4880,-0.04,0.71,1.11,0.12,-0.56,0.15
2022-12-08 20:10:31.4980,0.03,0.85,0.86,0.1,-0.45,0.19
2022-12-08 20:10:31.5070,0.11,1.0,0.74,0.08,-0.34,0.23
2022-12-08 20:10:31.5180,0.12,1.03,0.61,0.05,-0.27,0.28
2022-12-08 20:10:31.5270,0.13,1.15,0.45,0.02,-0.27,0.27
2022-12-08 20:10:31.5370,0.17,1.19,0.69,-0.0,-0.28,0.23
2022-12-08 20:10:31.5470,0.51,1.31,0.71,0.01,-0.22,0.19
2022-12-08 20:10:31.5570,0.51,1.31,0.71,0.05,-0.19,0.17
2022-12-08 20:10:31.5670,0.66,1.33,0.58,0.09,-0.23,0.17
2022-12-08 20:10:31.5770,0.7,1.41,0.71,0.13,-0.31,0.15
2022-12-08 20:10:31.5870,0.69,1.5,0.64,0.16,-0.44,0.1
2022-12-08 20:10:31.5970,0.61,1.56,0.5,0.17,-0.58,0.05
2022-12-08 20:10:31.6070,0.54,1.68,0.42,0.14,-0.68,0.02
2022-12-08 20:10:31.6170,0.47,1.94,0.33,0.09,-0.7,0.02
2022-12-08 20:10:31.6270,0.45,2.29,0.13,-0.01,-0.63,0.04
2022-12-08 20:10:31.6370,0.53,2.59,-0.15,-0.1,-0.53,0.09
2022-12-08 20:10:31.6470,0.57,2.92,-0.44,-0.18,-0.41,0.12
2022-12-08 20:10:31.6570,0.51,3.16,-0.57,-0.33,-0.39,0.1
2022-12-08 20:10:31.6670,0.31,3.03,-0.58,-0.55,-0.55,0.01
2022-12-08 20:10:31.6770,0.08,2.78,-0.18,-0.85,-0.78,-0.09
2022-12-08 20:10:31.6860,-0.26,2.72,0.27,-1.11,-0.98,-0.13
2022-12-08 20:10:31.6970,-0.43,2.76,0.43,-1.31,-1.09,-0.13
2022-12-08 20:10:31.7060,-0.51,2.8,0.41,-1.44,-1.1,-0.07
2022-12-08 20:10:31.7160,-0.64,2.84,0.45,-1.5,-1.09,0.08
2022-12-08 20:10:31.7260,-0.71,2.93,0.53,-1.51,-1.06,0.24
