time,ax,ay,az,wx,wy,wz
2022-12-08 20:13:33.3000,1.28,0.48,-0.5,-0.02,0.24,-0.01
2022-12-08 20:13:33.3030,1.28,0.48,-0.5,-0.02,0.24,-0.01
2022-12-08 20:13:33.3120,1.89,-0.02,-0.64,-0.03,0.37,-0.01
2022-12-08 20:13:33.3220,-0.28,-0.03,0.15,-0.05,0.29,-0.0
2022-12-08 20:13:33.3320,-0.28,-0.03,0.15,-0.05,0.18,-0.01
2022-12-08 20:13:33.3420,-0.65,0.11,0.34,-0.06,0.08,-0.02
2022-12-08 20:13:33.3520,-0.62,0.12,0.35,-0.06,0.02,-0.02
2022-12-08 20:13:33.3620,-0.38,0.19,0.33,-0.07,0.04,-0.02
2022-12-08 20:13:33.3710,-0.16,0.29,0.31,-0.07,0.08,-0.02
2022-12-08 20:13:33.3820,-0.16,0.29,0.31,-0.07,0.1,-0.02
2022-12-08 20:13:33.3910,-0.36,0.23,0.27,-0.06,0.07,-0.04
2022-12-08 20:13:33.4010,-0.45,0.09,0.01,-0.04,-0.0,-0.05
2022-12-08 20:13:33.4110,-0.41,-0.1,-0.03,-0.04,-0.03,-0.05
2022-12-08 20:13:33.4210,0.12,-0.03,-0.4,-0.03,0.03,-0.05
2022-12-08 20:13:33.4310,0.12,-0.03,-0.4,-0.03,0.13,-0.07
2022-12-08 20:13:33.4410,0.18,-0.21,-0.39,-0.04,0.15,-0.07
2022-12-08 20:13:33.4510,0.03,-0.27,-0.22,-0.05,0.08,-0.08
2022-12-08 20:13:33.4610,-0.25,-0.01,0.28,-0.02,0.04,-0.09
2022-12-08 20:13:33.4710,-0.86,0.18,-0.07,0.0,-0.01,-0.12
2022-12-08 20:13:33.4810,-0.86,0.18,-0.07,0.01,-0.09,-0.16
2022-12-08 20:13:33.4910,-0.57,-0.18,-0.05,0.01,-0.09,-0.16
2022-12-08 20:13:33.5010,-0.27,-0.22,-0.25,0.02,0.01,-0.18
2022-12-08 20:13:33.5110,-0.29,-0.17,-0.49,0.03,0.05,-0.19
2022-12-08 20:13:33.5210,-0.15,0.13,-0.15,0.03,0.09,-0.19
2022-12-08 20:13:33.5310,0.16,0.64,0.23,-0.0,0.15,-0.16
2022-12-08 20:13:33.5410,0.33,0.33,0.24,-0.08,0.17,-0.16
2022-12-08 20:13:33.5510,0.2,-0.5,0.26,-0.16,0.07,-0.16
2022-12-08 20:13:33.5610,-0.14,0.01,0.99,-0.25,-0.02,-0.16
2022-12-08 20:13:33.5700,-0.34,0.39,1.3,-0.37,-0.06,-0.16
2022-12-08 20:13:33.5800,-0.34,0.15,1.43,-0.49,-0.12,-0.13
2022-12-08 20:13:33.5910,-0.29,0.22,1.84,-0.61,-0.16,-0.1
2022-12-08 20:13:33.6010,-0.14,0.7,2.21,-0.73,-0.15,-0.06
2022-12-08 20:13:33.6100,0.01,1.13,2.27,-0.87,-0.16,-0.03
2022-12-08 20:13:33.6200,0.04,1.11,2.4,-1.02,-0.21,-0.01
2022-12-08 20:13:33.6300,-0.12,0.74,2.51,-1.17,-0.4,-0.02
2022-12-08 20:13:33.6400,-0.47,0.28,2.8,-1.31,-0.74,-0.04
2022-12-08 20:13:33.6500,-0.97,0.11,3.17,-1.42,-1.26,-0.05
2022-12-08 20:13:33.6600,-1.64,-0.1,3.47,-1.48,-1.45,-0.0
2022-12-08 20:13:33.6700,-2.06,-0.2,2.68,-1.52,-1.64,0.07
2022-12-08 20:13:33.6800,-1.82,-0.06,2.78,-1.49,-1.74,0.13
2022-12-08 20:13:33.6900,-1.35,-0.17,2.93,-1.48,-1.29,0.23
2022-12-08 20:13:33.7000,-1.3,-0.07,1.47,-1.42,-0.95,0.3
2022-12-08 20:13:33.7100,-1.19,-0.32,1.63,-1.4,-0.88,0.28
2022-12-08 20:13:33.7200,-0.81,-0.85,2.59,-1.36,-0.92,0.21
2022-12-08 20:13:33.7300,-0.75,-1.39,3.58,-1.14,-0.71,0.24
2022-12-08 20:13:33.7400,-1.37,-1.66,4.82,-0.86,-0.14,0.4
2022-12-08 20:13:33.7500,-2.89,-1.16,4.75,-0.66,-0.05,0.43
2022-12-08 20:13:33.7590,-2.14,-0.47,5.22,-0.47,-0.38,0.37
2022-12-08 20:13:33.7700,0.75,0.37,6.48,-0.31,-0.55,0.4
2022-12-08 20:13:33.7790,2.14,1.35,5.12,-0.14,-0.38,0.45
