time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007098,0.4483,0.0253,-0.3675,0.580
0.007812,0.3699,-0.1920,-0.3422,0.539
0.008188,0.4282,-0.4443,-0.3778,0.724
0.008599,0.5018,-0.6194,-0.5742,0.982
0.014861,0.4902,-0.6594,-0.8313,1.169
0.018530,0.4882,-0.6909,-0.8841,1.224
0.030933,0.4291,-0.6639,-0.8262,1.143
0.031658,0.3099,-0.5644,-0.6505,0.915
0.034020,-0.0059,-0.4547,-0.6006,0.753
0.039272,-0.3040,-0.3946,-0.3605,0.615
0.044616,-0.5714,-0.3813,-0.0881,0.693
0.048664,-0.8657,-0.4813,0.1648,1.004
0.065930,-0.9856,-0.6443,0.3033,1.216
0.067220,-0.8090,-0.6679,0.4734,1.151
0.067914,-0.8961,-0.5901,0.2853,1.110
0.068990,-1.1604,-0.4823,0.1430,1.265
0.074315,-1.0624,-0.3831,0.3042,1.170
0.078857,-1.0508,-0.1140,0.2265,1.081
0.084001,-1.0598,-0.0330,0.0776,1.063
0.099988,-0.8876,0.2308,-0.4245,1.011
0.100621,-0.7160,0.3718,-0.6083,1.010
0.100893,-0.2898,0.4308,-0.8400,0.988
0.104298,0.1123,0.3406,-0.9166,0.984
0.109414,0.3845,0.4309,-1.1155,1.256
0.113853,0.4984,0.4814,-1.1379,1.332
0.119522,0.3786,0.6090,-1.2946,1.480
0.132301,0.1379,0.7733,-1.3969,1.603
0.132825,-0.2302,0.8906,-1.2780,1.575
0.133169,-0.6494,0.9679,-1.0337,1.558
0.149586,-1.0546,1.0792,-0.7932,1.705
0.150178,-1.4534,1.0929,-0.6137,1.919
0.150462,-1.7077,1.0764,-0.5832,2.101
0.152999,-1.6767,1.0009,-0.5413,2.026
0.165650,-1.3967,0.7924,-0.4759,1.675
0.166616,-0.9085,0.4965,-0.4161,1.116
0.168023,-0.2973,0.2897,-0.4954,0.646
0.186559,0.2313,-0.0243,-0.4363,0.494
0.187966,0.6666,-0.3622,-0.5589,0.942
0.188615,0.9342,-0.6517,-0.6219,1.298
0.189067,1.1283,-0.9913,-0.5195,1.589
0.205678,1.1197,-1.1084,-0.8038,1.769
0.206686,1.0112,-1.1010,-0.9152,1.753
0.207231,0.8301,-1.0101,-0.9214,1.599
0.208350,0.6657,-0.8718,-1.0209,1.498
0.218135,0.4471,-0.6742,-1.0728,1.344
0.218964,0.1989,-0.5368,-0.9177,1.082
0.232491,-0.0294,-0.4481,-0.5745,0.729
0.233798,-0.1733,-0.4614,0.1935,0.529
0.234199,-0.1322,-0.5099,1.7770,1.853
0.236905,-0.3296,-0.2816,2.6374,2.673
0.249380,-1.1053,0.1868,1.8920,2.199
0.250617,-1.4514,0.4459,1.0431,1.842
0.252153,-1.6047,0.6510,0.6698,1.857
0.267284,-1.6379,0.7289,0.8469,1.983
0.268496,-1.4913,0.9908,0.8706,1.991
0.268944,-1.3881,1.1414,0.6067,1.897
0.281860,-1.3631,1.1085,0.7692,1.918
0.283304,-1.4949,1.1211,0.8010,2.033
0.283694,-1.5189,1.0228,0.3310,1.861
0.287183,-1.4474,0.7321,0.1844,1.632
0.301426,-1.3499,0.3315,0.5773,1.505
0.302599,-1.2406,0.1771,0.3652,1.305
0.303037,-0.0643,-0.1610,0.2060,0.269
0.315485,4.5955,-1.5000,0.1571,4.837
0.317422,5.4631,-1.9042,0.2735,5.792
0.317963,4.7772,-1.3920,-0.0012,4.976
0.345404,3.2385,-0.6732,-0.2004,3.314
0.346886,1.5404,-0.2042,-0.1536,1.561
0.347371,0.3659,-0.0243,0.3080,0.479
0.347725,-0.1466,-0.1394,0.6867,0.716
0.348041,-0.3051,-0.0118,0.6800,0.745
0.348360,-0.5951,0.2562,0.6834,0.942
0.353782,-0.8325,0.4410,0.4778,1.056
0.367828,-1.1921,0.4429,0.6223,1.416
0.368553,-1.4630,0.4033,0.7677,1.701
0.368823,-1.4375,0.3518,0.7202,1.646
0.371876,-1.1697,0.1166,0.7395,1.389
0.381170,-0.5683,-0.0802,0.9855,1.140
0.381878,-0.0491,-0.2400,1.0807,1.108
0.386395,0.4662,-0.3036,1.2482,1.367
0.399131,0.8278,-0.3201,1.2469,1.531
0.400933,0.7562,-0.3663,0.8424,1.190
0.401359,0.4949,-0.4396,0.7159,0.975
0.416031,0.3728,-0.4337,0.5185,0.772
0.417105,0.1664,-0.3329,0.1789,0.413
0.417621,-0.2822,-0.0806,-0.3888,0.487
0.421043,-0.8072,0.3193,-0.6966,1.113
0.435051,-0.6945,0.5815,-0.2422,0.938
0.436693,-0.2931,0.4062,-1.1433,1.248
0.437129,-0.5116,0.2543,-1.1729,1.305
0.447930,-1.0246,0.2324,0.3598,1.110
0.449019,-0.9583,0.2935,0.9341,1.370
0.450904,-0.1295,0.0993,-0.3258,0.364
0.478055,0.1829,-0.0956,-0.6565,0.688
0.479381,-0.1710,-0.0411,-0.3274,0.372
0.480654,-0.7427,0.1698,-0.5037,0.913
0.481255,-1.1600,0.2591,-0.2884,1.223
0.481727,-1.5006,0.3221,0.1434,1.541
0.482413,-1.7786,0.4883,0.6251,1.948
0.486261,-1.9865,0.6781,0.6028,2.184
0.491162,-2.1229,0.8450,-0.1066,2.287
0.495399,-2.1743,0.8735,-0.8094,2.479
0.501276,-2.2361,0.9310,-1.5065,2.852
0.507760,-2.3696,0.8246,-1.7804,3.077
0.512858,-2.5877,0.9999,-2.1388,3.503
0.516072,-2.5987,0.9600,-2.1328,3.496
0.520288,-2.2321,0.9006,-1.7680,2.987
0.526266,-1.6387,0.7682,-1.4005,2.288
0.531275,-0.9233,0.5244,-0.3491,1.118
0.535754,-0.4254,0.1087,1.7097,1.765
0.541302,-0.2251,-0.3553,3.2634,3.290
0.546324,0.4828,-0.8963,4.0676,4.193
0.550812,0.6671,-0.9060,2.8221,3.038
0.557257,0.7651,-1.0606,2.5097,2.830
0.562453,0.8447,-1.2889,2.6045,3.026
0.564649,0.6598,-1.4246,2.5700,3.012
0.570044,0.4315,-1.4760,2.3915,2.843
0.576543,0.4984,-1.4634,2.1760,2.669
0.580324,0.8176,-1.3665,1.8822,2.465
0.585358,0.9751,-1.1920,1.5027,2.152
0.595542,1.4889,-0.9823,1.1804,2.139
0.596670,1.5827,-0.5657,1.1181,2.019
0.600719,1.8539,0.0708,0.9574,2.088
0.606384,2.1633,0.5956,1.1505,2.522
0.617322,2.6248,0.8070,1.4251,3.094
0.618991,2.8033,0.7238,1.5952,3.306
0.620870,2.5121,0.5043,1.4918,2.965
0.630637,2.0515,0.0798,1.2468,2.402
0.632200,1.6611,-0.2625,1.0087,1.961
0.637268,1.3286,-0.4932,0.6647,1.565
0.641963,1.0128,-0.7263,0.3579,1.297
0.644769,0.3878,-0.8727,-0.0029,0.955
0.651107,0.2163,-0.9393,-0.5348,1.102
0.656328,0.2632,-0.9707,-0.7865,1.277
0.663817,0.4442,-0.9694,-0.7660,1.313
0.665114,0.6681,-0.8900,-0.6005,1.265
0.669727,0.8064,-0.7239,-0.4404,1.170
0.674993,1.2550,-0.6147,-0.1496,1.405
0.679491,1.7830,-0.5742,0.2022,1.884
0.684287,2.2322,-0.4711,0.4503,2.325
0.690650,2.4743,-0.3348,0.5234,2.551
0.694435,2.3252,-0.2244,0.3596,2.364
0.699426,1.8755,-0.0888,-0.0031,1.878
0.704396,1.4236,-0.0156,-0.4452,1.492
0.709645,0.9301,0.0129,-0.9266,1.313
0.714431,0.7904,-0.0338,-1.0535,1.317
0.719200,0.7592,-0.0600,-0.7193,1.048
0.726063,0.6388,-0.0815,0.0588,0.647
0.729419,0.2041,-0.0287,1.0758,1.095
0.734696,-0.6677,0.1681,1.6681,1.805
0.741005,-1.7115,0.4512,1.6049,2.389
0.744182,-2.4957,0.7433,1.1279,2.838
0.748916,-3.0777,0.9481,0.6713,3.290
0.753741,-3.2984,0.9212,0.6668,3.489
0.758613,-3.3812,0.9476,0.6643,3.574
0.764341,-3.4712,1.0293,0.6858,3.685
0.768629,-3.9296,1.1978,0.2511,4.116
0.775044,-4.0612,1.3483,-0.2561,4.287
0.779919,-4.1512,1.4144,-0.6182,4.429
0.784783,-3.3721,1.2172,-0.6152,3.637
0.789177,-2.4459,0.9171,-0.3903,2.641
0.794908,-1.6446,0.5611,-0.1008,1.741
0.800333,-1.1169,0.2635,0.1799,1.162
0.804497,-1.0432,0.2527,0.1995,1.092
0.809790,-1.1431,0.3885,0.0763,1.210
0.816404,-1.1197,0.3381,-0.0314,1.170
0.819331,-1.0283,0.2374,-0.0255,1.056
0.831511,-1.0058,0.1102,-0.1691,1.026
0.833140,-0.9738,-0.1562,-0.1822,1.003
0.836647,-0.9752,-0.4969,-0.2804,1.130
0.839554,-1.0401,-0.7107,-0.5427,1.372
0.845590,-1.0339,-0.8741,-0.7185,1.533
0.848415,-0.9821,-0.8740,-1.0853,1.705
0.854800,-0.8740,-0.8035,-1.4547,1.878
0.859102,-0.7088,-0.6931,-1.8583,2.106
0.865440,-0.5998,-0.6363,-2.0673,2.245
0.869366,-0.5368,-0.6204,-2.1587,2.309
0.873586,0.8321,-0.8682,-2.1520,2.465
0.879408,8.1895,-2.7104,-1.6992,8.792
0.883343,7.6813,-2.8811,-1.6620,8.371
0.888464,7.9218,-3.1762,-1.4448,8.656
0.893498,6.9758,-3.0643,-1.7798,7.824
0.902272,6.5525,-3.0909,-2.0240,7.522
0.904389,4.3418,-2.7847,-2.0685,5.557
0.908699,2.7384,-1.9540,-1.8474,3.838
0.913456,1.9023,-1.1932,-2.6805,3.497
0.918428,1.8311,-0.7518,-3.3090,3.856
0.925142,1.9112,-0.6142,-3.6236,4.142
0.928523,1.4211,-0.5511,-2.3877,2.833
0.934443,-0.2421,-0.5301,1.8743,1.963
0.937714,-0.9163,-0.0675,3.5000,3.619
0.943826,0.0798,0.4142,2.1277,2.169
0.949781,1.5761,0.5381,0.2819,1.689
0.952726,2.8320,0.2891,0.0972,2.848
0.962843,2.9118,-0.0807,1.1454,3.130
0.966205,2.8349,-0.3771,1.4969,3.228
0.968422,2.6044,-0.6595,1.6909,3.174
0.979175,2.1190,-0.6721,1.6944,2.795
0.980632,1.6038,-0.6603,1.1830,2.099
0.986613,0.8052,-0.4690,0.3072,0.981
0.987626,-0.2624,0.0759,-0.4032,0.487
0.994189,-1.3374,0.6064,-0.7124,1.632
0.998478,-2.1798,0.9748,-0.6717,2.480
1.003020,-2.5440,1.0953,-0.5375,2.821
1.008841,-2.5493,1.1470,0.0035,2.795
1.012289,-2.3879,1.0381,0.5973,2.671
1.017851,-2.0320,0.9143,0.9476,2.421
1.023480,-1.7016,0.8168,1.0142,2.143
1.027362,-0.8884,0.6192,0.8162,1.356
1.032242,-0.3876,0.5106,0.5665,0.855
1.036978,0.2095,0.2928,-0.0729,0.367
1.046301,0.7357,0.1198,-1.0237,1.266
1.054926,0.8487,0.1394,-1.5862,1.804
1.055798,0.9633,0.1100,-2.1323,2.342
1.064583,0.8247,-0.0172,-1.5195,1.729
1.065608,0.2758,-0.2291,-0.2850,0.458
1.068116,0.0551,-0.2461,-0.0233,0.253
1.072880,-0.1220,-0.3097,0.2999,0.448
1.079775,-0.2456,-0.3024,0.5321,0.659
1.083412,-0.4963,-0.1495,0.4224,0.669
1.086778,-0.7062,-0.0107,0.3038,0.769
1.092353,-0.6211,0.0308,0.3554,0.716
1.096471,-0.8118,0.1716,0.4290,0.934
1.101168,-0.9718,0.3134,0.4266,1.107
1.106733,-1.0144,0.2934,0.2981,1.097
1.112818,-1.0731,0.1978,0.3544,1.147
1.117584,-1.2874,0.0978,0.6220,1.433
1.122499,-1.5028,-0.0988,1.2507,1.958
1.127445,-1.5327,-0.2885,0.8728,1.787
1.133331,-1.5976,-0.5285,0.5652,1.775
1.136837,-1.6815,-0.6920,0.2074,1.830
1.143087,-1.7138,-1.2412,0.2816,2.135
1.146425,-1.9798,-2.0065,0.3517,2.841
1.151645,-2.1779,-2.8177,0.2783,3.572
1.155957,-2.2373,-3.1658,0.4315,3.901
1.163147,-2.0405,-2.6208,0.2079,3.328
1.165953,-1.6594,-1.6210,0.2076,2.329
1.171046,-1.0154,-0.6070,0.5048,1.286
1.182049,-0.4053,0.3378,0.6788,0.860
1.183481,0.1570,1.2407,0.6894,1.428
1.213043,0.5985,1.9781,0.7640,2.203
1.213901,0.8911,2.3635,0.9775,2.708
1.214433,0.8121,2.7323,0.8685,2.980
1.214860,0.5981,2.9506,0.9086,3.145
1.215218,0.3019,3.0138,0.6676,3.102
1.215575,-0.0603,2.9889,0.7414,3.080
1.215981,-0.3436,2.6892,0.7237,2.806
1.222126,-0.7690,2.3588,0.4982,2.531
1.226289,-1.5955,2.0576,0.3477,2.627
1.230896,-2.1550,1.7714,0.2439,2.800
1.236309,-2.3063,1.5436,0.0288,2.775
1.240424,-2.1086,1.2525,0.0058,2.452
1.245951,-1.9577,1.0391,-0.1293,2.220
1.250673,-1.7154,0.7865,-0.3674,1.923
1.255737,-1.4837,0.5280,-0.6128,1.690
1.262706,-1.1139,0.2875,-0.9263,1.477
1.266078,-0.7613,0.1002,-0.9238,1.201
1.270999,-0.2981,-0.0973,-0.5722,0.653
1.277748,-0.0746,-0.1811,-0.7200,0.746
1.282031,-0.2551,-0.2612,-1.0582,1.119
1.285530,-0.2627,-0.3366,-1.7364,1.788
1.290343,-0.4342,-0.4147,-1.7732,1.872
1.295815,-0.5794,-0.3683,-1.8735,1.995
1.301108,-0.5327,-0.3119,-1.7943,1.898
1.305943,-0.3438,0.0072,-1.7898,1.823
1.317559,0.1591,0.5433,-1.7191,1.810
1.319357,0.6501,0.5172,-0.7724,1.134
1.325453,0.4232,0.4710,-0.8869,1.090
1.326470,0.0687,0.3691,-1.1458,1.206
1.340814,-0.4124,0.3760,-1.2003,1.324
1.342191,-0.7361,0.5028,-0.8040,1.200
1.345098,-0.7994,0.5952,-0.0588,0.998
1.346447,-0.9304,0.7177,0.4697,1.265
1.350829,-1.1957,0.7946,0.4932,1.518
1.355091,-1.3228,0.7988,0.0026,1.545
1.362516,-1.4159,0.7092,-0.1669,1.592
1.366737,-1.4824,0.6799,-0.5467,1.720
1.370138,-1.2646,0.6960,-0.7706,1.636
1.377074,-0.7976,0.7239,-0.9037,1.406
1.381572,-0.0228,0.9151,-0.6213,1.106
1.385029,0.7696,2.0123,0.2245,2.166
1.389871,0.8329,0.9504,1.0440,1.639
1.397454,0.4431,0.1734,1.0871,1.187
1.400208,0.6134,-0.1656,1.6063,1.727
1.404919,1.0281,-0.3574,1.6379,1.967
1.411075,1.3087,-0.2524,1.5106,2.015
