time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009127,0.1457,-0.0720,0.0457,0.169
0.010047,0.1961,-0.0555,-0.0421,0.208
0.010468,0.2059,-0.0198,-0.0798,0.222
0.010897,0.1510,0.0373,-0.0531,0.164
0.023316,0.0844,0.0466,-0.0312,0.101
0.024213,-0.1573,0.0224,-0.0766,0.176
0.025528,0.3603,-0.0878,-0.0527,0.375
0.026481,0.3473,-0.0999,0.0501,0.365
0.043069,0.1648,-0.0666,0.1840,0.256
0.043779,0.1019,-0.0884,0.1745,0.221
0.044038,0.0820,-0.0863,0.0960,0.153
0.047253,0.0765,-0.0698,0.0319,0.108
0.051176,0.0355,-0.0367,0.0542,0.074
0.057047,-0.0510,-0.0132,0.0239,0.058
0.061779,-0.2120,-0.0398,0.0103,0.216
0.066276,-0.4765,-0.0472,-0.0848,0.486
0.071657,-0.6892,-0.0689,-0.1657,0.712
0.075811,-0.7954,-0.0664,-0.2446,0.835
0.081071,-0.7707,-0.0327,-0.2258,0.804
0.086465,-0.5266,0.0679,-0.1379,0.549
0.090622,-0.2854,0.1828,-0.0118,0.339
0.107902,-0.1260,0.2425,0.0357,0.276
0.108709,0.0214,0.1968,-0.0361,0.201
0.109165,0.0826,0.0675,-0.1461,0.181
0.111204,0.1225,-0.0521,-0.2083,0.247
0.115949,0.1720,-0.1021,-0.1775,0.267
0.120452,0.0158,-0.0492,-0.1804,0.188
0.126905,-0.1527,0.0204,-0.1429,0.210
0.147235,-0.2878,0.1019,-0.1198,0.328
0.148171,-0.3228,0.1380,-0.0849,0.361
0.148592,-0.1783,0.1309,0.0721,0.233
0.148981,-0.0052,0.1357,0.1648,0.214
0.158780,0.2665,0.1236,0.1791,0.344
0.159706,0.2991,0.0756,0.0860,0.320
0.161329,0.2243,-0.0226,-0.1096,0.251
0.172896,0.1209,-0.0322,-0.3243,0.348
0.173682,0.0127,-0.0225,-0.4987,0.499
0.175854,-0.1147,0.1211,-0.4651,0.494
0.192201,-0.0148,0.2024,-0.3886,0.438
0.193350,0.0324,0.2262,-0.2429,0.333
0.193802,0.0772,0.1495,-0.1592,0.232
0.210191,0.0144,0.0298,-0.1688,0.172
0.211339,0.0045,-0.0802,-0.2333,0.247
0.211910,0.0043,-0.0920,-0.3339,0.346
0.212424,0.0111,-0.0391,-0.4132,0.415
0.239368,-0.0754,0.0209,-0.4259,0.433
0.240676,-0.2054,0.0570,-0.3718,0.429
0.241281,-0.2450,0.1075,-0.3253,0.421
0.241809,-0.1939,0.1078,-0.2358,0.324
0.242338,-0.1215,0.0722,-0.0988,0.172
0.242841,-0.0204,0.0630,0.1004,0.120
0.253024,-0.0915,0.0943,0.2688,0.299
0.254280,-0.5222,0.1662,0.2986,0.624
0.262590,-0.6543,0.1879,0.2834,0.737
0.263683,-0.6793,0.2000,0.2515,0.751
0.267693,-0.6261,0.2814,0.2175,0.720
0.274902,-0.2858,0.2958,0.2578,0.485
0.275712,-0.0604,0.2383,0.2290,0.336
0.280299,-0.1704,0.2048,0.2580,0.371
0.292147,-0.0051,0.0732,0.1294,0.149
0.293114,-0.1633,-0.0366,0.0203,0.169
0.294869,-0.1160,-0.1559,-0.0244,0.196
0.300252,0.0508,-0.2175,0.0527,0.229
0.305640,-0.1083,-0.1786,0.2443,0.321
0.309757,-0.1770,-0.1612,0.3976,0.464
0.324708,-0.4260,-0.1223,0.4457,0.629
0.325567,-0.0984,-0.1121,0.5254,0.546
0.325883,0.1746,-0.0854,0.5578,0.591
0.331865,-0.0163,0.0535,0.5263,0.529
0.334743,0.3868,0.0892,0.4599,0.608
0.339682,0.2760,0.1367,0.1599,0.347
0.344977,0.5440,0.1004,-0.0871,0.560
0.349084,0.7005,0.0330,-0.3149,0.769
0.354845,0.8439,-0.0702,-0.5146,0.991
0.359373,0.7824,-0.1517,-0.5669,0.978
0.366515,0.5396,-0.2138,-0.5461,0.797
0.370015,0.3547,-0.2326,-0.4355,0.608
0.375556,0.2155,-0.2179,-0.2637,0.404
0.379058,0.0070,-0.1457,0.0130,0.146
0.383993,-0.1681,-0.0832,0.1915,0.268
0.389462,-0.2549,-0.0662,0.3177,0.413
0.393683,-0.1265,-0.0900,0.3800,0.410
0.402067,-0.0410,-0.0948,0.4406,0.453
0.405186,0.1043,-0.1428,0.4111,0.448
0.409372,0.1996,-0.2028,0.2341,0.368
0.416019,0.0889,-0.2220,-0.0454,0.243
0.419001,0.1574,-0.2460,-0.3606,0.464
0.424247,0.0630,-0.1049,-0.4943,0.509
0.428853,0.1293,0.0481,-0.5017,0.520
0.434606,0.0211,0.2202,-0.4596,0.510
0.439105,-0.1733,0.3299,-0.4300,0.569
0.443746,-0.2360,0.3009,-0.3963,0.551
0.449775,-0.2436,0.2242,-0.2891,0.440
0.456043,-0.1627,0.3293,0.1407,0.393
0.458487,-0.1274,0.4103,0.6569,0.785
0.463353,-0.1498,0.2471,0.7935,0.845
0.470616,-0.0239,0.0792,0.7543,0.759
0.473885,0.1692,-0.0935,0.6059,0.636
0.478650,0.2983,-0.2016,0.3962,0.535
0.484552,0.4301,-0.2498,0.2109,0.540
0.489489,0.4378,-0.2573,0.0185,0.508
0.493671,0.3691,-0.2050,-0.1261,0.441
0.508401,0.2310,-0.1287,-0.2353,0.354
0.509966,0.1386,-0.0764,-0.2853,0.326
0.510600,0.0222,0.0692,-0.2709,0.280
0.531661,0.0377,0.2458,-0.3023,0.391
0.532805,0.2282,0.3527,-0.3817,0.568
0.533350,0.3403,0.3663,-0.4614,0.680
0.533887,0.3525,0.4491,-0.4719,0.741
0.535294,0.2837,0.4387,-0.5046,0.726
0.539305,0.2175,0.2012,-0.6409,0.706
0.543118,0.1634,-0.0334,-0.6804,0.701
0.550354,0.0616,-0.2483,-0.6496,0.698
0.552611,-0.1435,-0.5106,-0.5845,0.789
0.557932,-0.3205,-0.7698,-0.4709,0.958
0.562426,-0.1317,-0.9664,-0.2535,1.008
0.568639,0.2485,-0.8733,0.0969,0.913
0.573713,0.4041,-0.5819,0.3896,0.808
0.577535,0.4259,-0.2072,0.5201,0.703
0.583480,0.3377,0.0975,0.3689,0.510
0.589029,-0.4347,0.1005,-0.1453,0.469
0.592742,-0.6230,-0.2670,-0.3079,0.744
0.600253,-0.3807,-0.1175,-0.0209,0.399
0.605937,-0.2251,0.2661,0.4001,0.531
0.607187,-0.0701,0.4722,0.6448,0.802
0.612129,0.1044,0.5342,0.6779,0.869
0.619953,0.0666,0.5338,0.5591,0.776
0.625185,-0.0760,0.3969,0.4150,0.579
0.628866,-0.0774,0.1908,0.2118,0.295
0.636327,-0.0215,-0.0892,-0.0770,0.120
0.637645,-0.0689,-0.3353,-0.2654,0.433
0.642621,-0.3445,-0.5474,-0.3177,0.721
0.650022,-0.5464,-0.8860,-0.2294,1.066
0.653181,0.5632,-0.6741,-0.1055,0.885
0.657552,0.9671,-0.0513,-0.1158,0.975
0.662319,0.9697,0.1905,-0.0878,0.992
0.668654,0.7604,0.2191,-0.0621,0.794
0.673383,0.3607,0.2141,-0.0410,0.421
0.677788,-0.0792,0.6323,0.0092,0.637
0.684130,-0.5764,-0.1193,-0.3426,0.681
0.691628,-0.5279,-0.4561,-0.3386,0.775
0.694065,-0.3772,-0.1850,-0.0789,0.427
0.696990,-0.0359,0.0689,0.1544,0.173
0.706690,0.3030,0.2269,0.1464,0.406
0.708490,0.4536,0.2792,-0.0407,0.534
0.712377,0.4569,0.2717,-0.1199,0.545
0.721510,0.0898,0.2044,-0.1367,0.262
0.727657,-0.2035,0.0296,-0.1344,0.246
0.739197,-0.3252,-0.1688,-0.1848,0.410
0.740557,-0.3424,-0.2712,-0.1207,0.453
0.741077,-0.3676,-0.2539,0.0151,0.447
0.742179,-0.3526,-0.2007,0.1364,0.428
0.747045,-0.2879,-0.1332,0.2341,0.394
0.751549,-0.1872,-0.0970,0.2482,0.326
0.756427,-0.0411,-0.0656,0.3463,0.355
0.761639,0.0333,-0.0487,0.4400,0.444
0.767312,0.0093,-0.0439,0.5462,0.548
0.772028,-0.0676,-0.0821,0.5762,0.586
0.776786,-0.0661,-0.1443,0.5757,0.597
0.784576,-0.0506,-0.1324,0.5877,0.605
0.786594,0.1564,-0.1086,0.4257,0.466
0.792811,0.2657,-0.0491,0.2882,0.395
0.796345,0.2394,0.0245,0.2448,0.343
0.801650,0.0841,0.0598,0.1397,0.174
0.811165,0.0031,0.0160,0.0494,0.052
0.812231,0.0441,-0.0349,-0.0959,0.111
0.828826,-0.1376,-0.0259,-0.1598,0.212
0.830165,-0.3128,-0.0742,-0.3699,0.490
0.835860,0.0842,-0.3399,-0.6501,0.738
0.852631,0.0100,-0.1580,-0.5912,0.612
0.854191,-0.1983,0.0214,-0.5092,0.547
0.855765,-0.1747,0.2222,-0.3726,0.468
0.856552,-0.0917,0.4418,-0.2480,0.515
0.857102,-0.0445,0.5225,-0.1378,0.542
0.857644,-0.0308,0.4978,-0.0729,0.504
0.861625,-0.0577,0.3488,-0.0557,0.358
0.868880,0.0328,0.2022,-0.0048,0.205
0.870978,0.0467,0.1467,-0.0135,0.155
0.876861,0.3627,0.1056,-0.0077,0.378
0.881269,-0.0297,0.1314,0.0271,0.137
0.886834,-0.3385,0.1070,-0.1605,0.390
0.890745,-0.5331,0.0206,-0.5399,0.759
0.896193,-1.2559,-0.3379,-1.0830,1.692
0.913497,-0.3808,-0.5139,-0.8379,1.054
0.916804,-0.2000,-0.3645,0.1552,0.444
0.917766,1.0681,-0.2179,0.7606,1.329
0.918576,1.4333,0.0261,0.8142,1.649
