time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002148,0.2605,-0.3242,0.1746,0.451
0.002901,-0.4469,-0.2974,-0.5506,0.769
0.003528,-0.7922,-0.2307,-1.0942,1.370
0.007893,-0.6765,-0.0927,-1.4929,1.642
0.010343,-0.2269,0.0401,-1.6957,1.711
0.022967,0.3718,0.1408,-1.9087,1.950
0.024443,0.9417,0.1708,-1.8532,2.086
0.025097,1.3468,0.1632,-1.7252,2.195
0.030524,1.5700,0.0586,-1.5958,2.239
0.036080,1.7351,-0.1191,-1.5003,2.297
0.039924,1.7700,-0.3077,-1.4237,2.292
0.044846,1.7132,-0.5166,-1.3324,2.231
0.050123,1.5565,-0.6574,-1.2474,2.100
0.054841,1.2924,-0.7083,-1.1877,1.893
0.060334,0.9126,-0.6788,-1.0623,1.556
0.064850,0.4456,-0.5546,-0.8427,1.103
0.077634,0.0664,-0.4175,-0.3946,0.578
0.079671,-0.1737,-0.2515,0.1388,0.336
0.080382,-0.4240,-0.0814,0.4242,0.605
0.084864,-0.9393,0.0860,0.4310,1.037
0.089716,-1.8010,0.1773,0.0550,1.811
0.095054,-2.4603,0.1415,-0.1565,2.469
0.125800,-2.5503,0.0003,-0.0943,2.552
0.127547,-1.9440,-0.1727,0.2305,1.965
0.128673,-1.1694,-0.3000,0.7649,1.429
0.129756,-0.5726,-0.3182,1.1437,1.318
0.130857,-0.2485,-0.2326,1.3557,1.398
0.132502,-0.1605,-0.0557,1.5979,1.607
0.139465,-0.2044,0.1552,1.6607,1.680
0.140578,-0.2409,0.2583,1.8219,1.856
0.141097,-0.2948,0.2896,1.4905,1.547
0.144943,-0.4872,0.2215,0.9602,1.099
0.151233,-0.9030,0.1006,0.5340,1.054
0.154826,-1.3617,-0.0469,-0.1355,1.369
0.159684,-2.0002,0.1611,-0.7069,2.128
0.163871,-2.4402,0.2464,-0.8318,2.590
0.169038,-2.7618,0.3788,-0.9266,2.938
0.174326,-2.8322,0.5297,-1.0629,3.071
0.178853,-2.6548,0.6130,-1.1021,2.939
0.184919,-2.3037,0.6788,-1.1757,2.674
0.189257,-1.7757,0.6555,-1.2793,2.285
0.194543,-1.1701,0.5477,-1.2816,1.820
0.200154,-0.4258,0.3090,-1.1131,1.231
0.212416,0.3875,-0.0017,-0.9988,1.071
0.214005,1.0677,-0.2195,-1.0221,1.494
0.214982,1.9742,-0.5532,1.9529,2.832
0.231712,3.2564,-0.5338,5.0391,6.023
0.234935,3.0251,-0.1212,0.4724,3.064
0.236212,1.7889,0.0452,-1.6550,2.437
0.237786,0.9001,0.1569,-0.9104,1.290
0.239213,0.4546,0.2402,0.3910,0.646
0.244366,-0.0224,0.2504,0.5266,0.584
0.262126,-0.7842,0.1815,-0.0976,0.811
0.263593,-1.6008,0.0554,-0.3363,1.637
0.265962,-2.0921,-0.0588,-0.2044,2.103
0.267432,-2.1111,-0.2116,-0.3156,2.145
0.275421,-1.7288,-0.4097,-0.8346,1.963
0.276542,-1.2076,-0.3731,-1.1189,1.688
0.278930,-0.5925,-0.3724,-1.3603,1.530
0.286788,0.0039,-0.3357,-1.5229,1.559
0.288787,0.4243,-0.3323,-1.8536,1.930
0.294253,0.6385,-0.3262,-1.8298,1.965
0.298294,0.7389,-0.2876,-1.5665,1.756
0.303209,0.8047,-0.2554,-1.2884,1.540
0.308874,0.9740,-0.2500,-1.0096,1.425
0.314202,1.3162,-0.5174,-0.6277,1.547
0.319031,1.3093,-0.8725,0.2784,1.598
0.323988,1.0050,-0.6389,1.1500,1.656
0.328840,0.6279,-0.4348,1.5179,1.699
0.335345,0.0323,-0.3214,1.7730,1.802
0.338908,-0.4862,-0.2125,1.7751,1.853
0.344243,-1.0002,-0.0672,1.8496,2.104
0.350397,-1.3527,0.1768,1.8219,2.276
0.372636,-1.6854,0.0679,1.8426,2.498
0.380636,-2.0180,0.3379,1.5534,2.569
0.384238,-2.2563,0.6867,0.9784,2.553
0.386739,-2.4492,0.7788,0.4732,2.613
0.390479,-2.6618,0.8600,0.0705,2.798
0.394080,-2.8933,0.8894,-0.4940,3.067
0.395357,-2.9562,0.8500,-1.2211,3.309
0.395938,-2.8504,0.8148,-1.8082,3.472
0.396476,-2.5131,0.8305,-2.3906,3.567
0.399973,-1.9114,0.6569,-1.8962,2.771
0.404206,-1.2643,0.6026,-1.3539,1.948
0.407779,-0.6164,0.4426,-0.4831,0.900
0.412914,-0.0358,0.2026,0.2992,0.363
0.419137,0.4028,-0.0254,0.6887,0.798
0.422522,0.6901,-0.2761,0.7827,1.079
0.427802,0.8299,-0.4968,0.6704,1.177
0.432061,1.0646,-0.6784,0.7682,1.478
0.438021,1.2717,-0.8540,0.8510,1.752
0.443551,1.6788,-0.9666,0.9211,2.145
0.447448,2.0889,-1.0096,1.0145,2.532
0.453312,2.1180,-1.0623,1.1716,2.643
0.457782,2.1239,-1.2208,1.5936,2.922
0.462811,2.3565,-1.4833,1.8432,3.339
0.471828,2.0345,-1.3435,1.7611,3.008
0.474845,1.5182,-1.0861,1.7185,2.537
0.477694,1.0461,-0.8069,1.7605,2.201
0.482443,0.7640,-0.6394,1.7866,2.046
0.492160,0.7246,-0.1641,0.7633,1.065
0.493924,0.6707,0.7522,-2.9263,3.095
0.498071,-0.2613,1.0571,-2.3959,2.632
0.518531,-1.1042,1.0695,-1.6087,2.225
0.520011,-1.4558,1.0434,-2.1818,2.823
0.520848,-1.6224,1.0370,-1.8976,2.703
0.521472,-1.4184,1.0497,-1.2608,2.169
0.522176,-0.9811,1.1503,-0.2427,1.531
0.527670,-0.5320,1.1036,1.0711,1.627
0.537140,-0.4927,0.9439,1.7998,2.091
0.539356,-0.4675,0.7158,1.8095,2.001
0.542384,-0.3820,0.5246,1.6557,1.778
0.546825,-0.4524,0.4244,1.8238,1.926
0.554130,-0.5232,0.3005,1.7759,1.876
0.557322,-0.6471,0.2896,1.5622,1.716
0.561984,-0.7140,0.2711,1.2016,1.424
0.566732,-0.9068,0.2232,1.6619,1.906
0.571976,-1.3164,0.1275,1.6514,2.116
0.577151,-1.7328,0.1875,1.5800,2.352
0.582055,-2.0230,0.3973,0.1306,2.066
0.593425,-2.6664,0.5515,0.3724,2.748
0.595514,-2.6019,0.7625,-0.0217,2.711
0.596865,-2.4543,0.7431,-0.3618,2.590
0.618046,-2.2699,0.7033,-0.6044,2.452
0.619592,-1.8664,0.6514,-0.6274,2.074
0.621307,0.1318,0.4631,0.1501,0.504
0.621983,5.0306,-0.4503,2.0560,5.453
0.622698,9.1347,-1.7788,2.6937,9.688
0.626951,9.0191,-2.1379,0.8291,9.306
0.631324,6.4117,-1.2741,-1.5855,6.727
