time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006625,0.0908,0.7781,-0.9652,1.243
0.007569,0.1708,0.6311,-1.2789,1.436
0.007976,0.3146,0.3877,-1.5898,1.666
0.011650,0.6193,0.1365,-1.7711,1.881
0.015181,0.9993,-0.1465,-1.8728,2.128
0.026128,1.3358,-0.4016,-1.8614,2.326
0.028057,1.6188,-0.6251,-1.6410,2.388
0.028758,1.6601,-0.8530,-1.4843,2.385
0.034873,1.5448,-1.0339,-1.1615,2.192
0.040155,1.2579,-1.1546,-0.7970,1.884
0.043709,1.0113,-1.2023,-0.3692,1.614
0.048287,0.8421,-1.1681,0.1840,1.452
0.054565,0.7372,-1.1612,0.6284,1.512
0.058520,0.6814,-1.1822,1.0428,1.717
0.063380,0.5553,-1.1578,1.3721,1.879
0.068059,0.3962,-1.1138,1.5561,1.954
0.073107,0.2692,-1.1172,1.5801,1.954
0.078730,0.2359,-1.1289,1.5204,1.908
0.083725,0.4029,-1.1387,1.4029,1.851
0.119673,0.6810,-1.1339,1.2041,1.789
0.120299,0.9164,-1.0947,0.9174,1.697
0.120798,1.0296,-1.0013,0.6052,1.558
0.121133,1.0263,-0.9055,0.1887,1.382
0.121442,1.0711,-0.8016,-0.2263,1.357
0.121775,1.0733,-0.7268,-0.6616,1.455
0.122162,0.9265,-0.5943,-1.0380,1.513
0.139686,0.5493,-0.3157,-1.2026,1.359
0.140236,-0.0073,0.0493,-1.2774,1.278
0.140472,-0.5650,0.4093,-1.2367,1.420
0.140705,-1.0635,0.7330,-1.1480,1.728
0.145759,-1.4839,0.9647,-0.9307,2.000
0.147859,-1.8125,1.1355,-0.6354,2.231
0.154496,-2.0876,1.2565,-0.2367,2.448
0.157888,-2.3161,1.2958,0.1117,2.656
0.162892,-2.4441,1.2130,0.4547,2.766
0.167708,-2.3895,0.9431,0.7034,2.663
0.174617,-2.0537,0.5294,0.9107,2.308
0.178699,-1.4727,0.0003,1.0467,1.807
0.184472,-0.8179,-0.4603,1.1393,1.476
0.188963,-0.1253,-0.7936,1.3330,1.556
0.193044,0.2237,-0.9834,1.2672,1.620
0.197659,0.3900,-0.9920,1.0930,1.527
0.202550,0.4138,-0.8434,0.9035,1.303
0.208009,0.2898,-0.5737,0.5717,0.860
0.213064,0.1236,-0.1928,0.1983,0.303
0.217480,-0.1018,0.1202,-0.2875,0.328
0.234351,-0.1995,0.3537,-0.7037,0.812
0.235109,-0.1098,0.4962,-1.1701,1.276
0.235586,-0.2174,0.5324,-1.7199,1.813
0.240557,-0.2636,0.5228,-2.1918,2.269
0.243109,0.0905,0.4682,-2.2457,2.296
0.250945,0.5449,0.2734,-2.1955,2.279
0.252408,0.8620,0.0168,-2.4015,2.552
0.262341,1.1251,-0.1075,-2.1824,2.458
0.263118,1.2593,-0.1545,-1.7661,2.175
0.267146,1.1592,-0.2054,-1.5094,1.914
0.272711,1.1483,-0.3647,-1.7548,2.129
0.277304,1.1090,-0.3854,-1.8060,2.154
0.281991,1.1667,-0.3658,-1.4582,1.903
0.289577,0.9878,-0.1948,-0.6418,1.194
0.292213,0.6806,0.0065,0.6404,0.935
0.297487,0.5461,0.1033,0.5349,0.771
0.301802,0.7500,0.1015,-0.4623,0.887
0.306919,0.8886,0.1043,-0.8863,1.259
0.311943,0.7828,0.1877,-0.9459,1.242
0.317068,0.5563,0.2978,-1.0147,1.195
0.323674,0.2640,0.3142,-1.2350,1.301
0.327113,0.1779,0.2721,-1.5955,1.628
0.332594,0.3140,0.1138,-1.8150,1.845
0.341435,0.5105,-0.0245,-1.9309,1.997
0.342390,0.6600,-0.1025,-2.0936,2.198
0.347992,0.7311,-0.1126,-2.3730,2.486
0.351637,0.4298,-0.0690,-2.7401,2.774
0.372436,-0.0422,-0.0341,-3.1931,3.194
0.374074,-0.0954,-0.2752,-3.0678,3.082
0.376445,0.2815,-0.7778,-2.2250,2.374
0.377219,0.7519,-1.1322,-2.1012,2.502
0.378007,1.1325,-1.3045,-2.2592,2.844
0.397715,1.4146,-1.3724,-2.2704,3.006
0.399432,1.7648,-1.3670,-2.1237,3.081
0.400290,2.0048,-1.3074,-1.9359,3.078
0.401095,1.9628,-1.2633,-1.8837,2.999
0.401736,1.9090,-1.2515,-1.8168,2.917
0.408893,1.9483,-1.3108,-1.8404,2.983
0.411481,2.1075,-1.3671,-1.9537,3.182
0.416886,2.1205,-1.3893,-2.1282,3.310
0.423956,2.0919,-1.4081,-2.3668,3.458
0.427338,2.0351,-1.3873,-2.4837,3.498
0.432383,1.9074,-1.2596,-2.6722,3.516
0.436055,1.7665,-1.0602,-2.6333,3.343
0.441885,1.6628,-0.8146,-2.6489,3.232
0.446363,1.6592,-0.5226,-2.5199,3.062
0.451079,1.5664,-0.6036,-2.3391,2.879
0.457897,1.3021,-0.6966,-2.0690,2.542
0.463964,1.0114,-0.8626,-1.7605,2.206
0.466397,0.6264,-1.1171,-1.5630,2.021
0.480914,0.3297,-1.3820,-1.5647,2.114
0.487968,0.2356,-1.6299,-1.5410,2.255
0.490327,0.2438,-1.9534,-1.2662,2.341
0.492550,0.2242,-2.1605,-1.1226,2.445
0.494033,0.2812,-2.2959,-1.0213,2.529
0.505980,0.3490,-2.3465,-0.9061,2.539
0.507975,0.2556,-2.2951,-0.7363,2.424
0.508832,0.1645,-2.0273,-0.6978,2.150
0.511181,0.1706,-1.7575,-0.6819,1.893
0.516000,0.1779,-1.4816,-0.4907,1.571
0.524114,0.1936,-1.1853,-0.3925,1.263
0.526352,0.1479,-0.9169,-0.4310,1.024
0.531255,-0.1310,-0.8772,-0.4982,1.017
0.535997,-0.5646,-1.1781,-0.4482,1.381
0.540751,-0.8704,-1.3784,-0.3700,1.672
0.546336,-0.9411,-1.7355,-1.3317,2.381
0.551061,-0.8265,-1.8823,-2.0583,2.909
0.563651,-0.9622,-1.3418,-1.0007,1.931
0.566368,-0.6459,-1.2536,-0.3660,1.457
0.571132,-0.6570,-0.9740,-0.1169,1.181
0.578150,-0.6749,-0.7644,-0.2726,1.056
0.582421,-0.8000,-0.7422,-0.4172,1.168
0.582981,-1.1654,-1.1231,0.0433,1.619
0.585555,-1.9121,-1.4797,0.2293,2.429
0.591069,-2.0751,-1.3972,-0.1459,2.506
0.595098,-2.0452,-1.4709,0.0658,2.520
0.599965,-2.1984,-1.5875,0.2641,2.725
0.606999,-2.1161,-1.4485,0.6850,2.654
0.612309,-1.8157,-1.2982,1.1322,2.503
0.615003,-1.5894,-1.2285,1.3079,2.397
