time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008500,1.0344,-0.4569,-0.3151,1.174
0.009489,1.0170,-0.3631,-0.0698,1.082
0.009843,0.8227,-0.2313,-0.0759,0.858
0.010172,0.6163,-0.1593,-0.2330,0.678
0.018470,0.4648,-0.1281,-0.2873,0.561
0.018900,0.2681,-0.0920,-0.2319,0.366
0.028579,0.0241,-0.0321,-0.1409,0.147
0.029008,-0.2792,0.0564,-0.0334,0.287
0.033882,-0.5321,0.1161,0.0263,0.545
0.043623,-0.6417,0.1422,0.0862,0.663
0.044310,-0.6128,0.1325,-0.0283,0.628
0.048663,-0.4363,0.0941,-0.1331,0.466
0.058173,-0.1885,0.0462,-0.1950,0.275
0.058532,-0.0010,-0.0326,-0.2403,0.242
0.062730,0.1121,-0.0923,-0.1446,0.205
0.086845,0.1677,-0.1159,-0.0732,0.217
0.087725,0.1514,-0.1156,-0.0403,0.195
0.088128,0.0445,-0.0747,-0.0576,0.104
0.088508,-0.1007,-0.0099,-0.1204,0.157
0.088902,-0.2028,0.0548,-0.1855,0.280
0.100650,-0.2476,0.1003,-0.2412,0.360
0.101648,-0.2376,0.0861,-0.2517,0.357
0.131231,-0.2039,0.0599,-0.2122,0.300
0.132122,-0.1704,0.0266,-0.1944,0.260
0.132473,-0.1178,0.0029,-0.1457,0.187
0.132801,-0.0679,-0.0135,-0.1138,0.133
0.133136,0.0060,-0.0347,-0.0701,0.078
0.133452,0.0679,-0.0774,-0.0432,0.112
0.133788,0.1034,-0.1034,0.0436,0.153
0.143503,0.0862,-0.1245,0.1113,0.188
0.143960,0.0667,-0.1049,0.0498,0.134
0.147473,0.0615,-0.0663,0.0292,0.095
0.156870,0.0684,-0.0109,-0.0345,0.077
0.157315,0.0827,0.0539,-0.0909,0.134
0.162171,0.0756,0.0947,-0.1187,0.170
0.167077,0.0352,0.1283,-0.1368,0.191
0.174085,0.0091,0.1284,-0.1598,0.205
0.177308,-0.0001,0.0998,-0.1948,0.219
0.182121,-0.0331,0.0832,-0.1918,0.212
0.191208,-0.0589,0.0594,-0.1244,0.150
0.191849,-0.0801,0.0071,-0.0526,0.096
0.197166,-0.0583,-0.0429,0.0598,0.094
0.210182,0.0065,-0.0855,0.0885,0.123
0.210657,0.0474,-0.1138,0.0909,0.153
0.212235,0.0501,-0.1325,0.0408,0.147
0.217056,0.0432,-0.1106,-0.0044,0.119
0.223789,-0.0044,-0.0551,-0.0208,0.059
0.226578,-0.0568,-0.0117,-0.0754,0.095
0.231468,-0.0830,0.0412,-0.1204,0.152
0.250160,-0.1141,0.0582,-0.1247,0.179
0.250714,-0.1309,0.0560,-0.0956,0.172
0.250988,-0.1645,0.0467,-0.0402,0.176
0.260957,-0.1433,0.0327,0.0415,0.153
0.261403,-0.0743,0.0282,0.1306,0.153
0.262281,-0.0127,0.0237,0.1668,0.169
0.267132,0.0872,0.0336,0.2484,0.265
0.276424,0.2014,0.0434,0.4400,0.486
0.277177,0.2417,0.0388,0.5002,0.557
0.281686,0.2175,0.0223,0.4677,0.516
0.298190,0.2057,0.0056,0.3930,0.444
0.299066,0.1677,-0.0063,0.2401,0.293
0.299480,0.1346,-0.0253,0.0852,0.161
0.301666,0.1304,-0.0229,-0.1005,0.166
0.314747,0.1288,-0.0348,-0.1907,0.233
0.315647,0.0987,-0.0251,-0.1951,0.220
0.316758,0.0019,0.0037,-0.1350,0.135
0.332369,-0.1117,0.0325,-0.0871,0.145
0.333379,-0.2063,0.0469,-0.0679,0.222
0.333789,-0.2341,0.0422,-0.0344,0.240
0.357992,-0.2047,0.0423,0.0110,0.209
0.358856,-0.1183,0.0256,0.0470,0.130
0.359217,-0.0269,0.0089,0.0040,0.029
0.359554,0.0733,-0.0171,-0.0434,0.087
0.359881,0.1396,-0.0264,-0.0263,0.145
0.365770,0.1700,-0.0142,-0.0094,0.171
0.367078,0.1622,0.0051,0.1024,0.192
0.379180,0.1332,-0.0210,0.1825,0.227
0.380565,0.0855,-0.0659,0.1600,0.193
0.381508,0.0407,-0.1080,0.1546,0.193
0.397436,-0.0321,-0.1285,0.1376,0.191
0.398617,-0.0973,-0.1037,0.0712,0.159
0.399006,-0.1597,-0.0791,-0.0159,0.179
0.401246,-0.2006,-0.0499,-0.0976,0.229
0.415116,-0.2250,-0.0351,-0.1931,0.299
0.416816,-0.2257,-0.0418,-0.2383,0.331
0.418480,-0.2008,-0.0745,-0.2551,0.333
0.432798,-0.1810,-0.0974,-0.2031,0.289
0.434383,-0.1665,-0.1272,-0.2113,0.298
0.434940,-0.1595,-0.1306,-0.1984,0.286
0.437408,-0.1385,-0.1220,-0.1382,0.231
0.446344,-0.1274,-0.0802,-0.0407,0.156
0.448038,-0.1428,-0.0317,0.0751,0.164
0.452714,-0.1061,0.0402,0.1591,0.195
0.467101,-0.0059,0.1051,0.2253,0.249
0.471094,0.1375,0.1389,0.3015,0.359
0.472892,0.2621,0.1342,0.2563,0.390
0.473782,0.3105,0.0888,0.1663,0.363
0.475514,0.3091,0.0577,0.0481,0.318
0.486393,0.3010,0.0410,-0.0842,0.315
0.487416,0.2861,0.0219,-0.1927,0.346
0.495576,0.2404,-0.0043,-0.3089,0.391
0.496900,0.1878,-0.0066,-0.2700,0.329
0.500726,0.1546,0.0199,-0.0980,0.184
0.506492,0.1526,0.0464,0.1743,0.236
0.510594,0.1722,0.0608,0.4032,0.443
0.515370,0.1465,0.0250,0.4388,0.463
0.520970,0.0948,-0.0276,0.2932,0.309
0.526731,0.0267,-0.0419,0.0932,0.106
0.530763,-0.0246,-0.0108,-0.0110,0.029
0.536738,-0.0737,0.0227,-0.0507,0.092
0.542737,-0.0416,0.0490,0.0053,0.065
0.546330,0.0166,0.0538,0.0012,0.056
0.550798,0.0414,0.0419,-0.0460,0.075
0.556481,0.0376,0.0251,-0.0837,0.095
0.562799,0.0435,0.0228,-0.0544,0.073
0.566844,0.0566,0.0563,-0.0348,0.087
0.575425,0.0769,0.0682,-0.0008,0.103
0.577640,0.1307,0.0634,0.0525,0.154
0.580608,0.1610,0.0370,0.0724,0.180
0.584865,0.1078,0.0178,0.0494,0.120
0.593010,0.0548,0.0153,0.0003,0.057
0.595155,-0.0077,0.0128,-0.0463,0.049
0.599409,-0.0297,0.0175,-0.0977,0.104
0.608767,-0.0326,0.0270,-0.1326,0.139
0.609663,0.0098,0.0390,-0.1509,0.156
0.615110,0.0691,0.0461,-0.0786,0.114
0.620133,0.1117,0.0365,-0.0087,0.118
0.624991,0.1378,-0.0042,0.0418,0.144
0.629329,0.1926,-0.0305,0.0444,0.200
0.634138,0.2285,-0.0545,0.0541,0.241
0.651198,0.2168,-0.0425,0.1572,0.271
0.652538,0.2195,-0.0138,0.2507,0.333
0.653800,0.1939,-0.0163,0.2487,0.316
0.654893,0.1110,-0.0212,0.1463,0.185
0.659872,-0.0076,-0.0188,0.0863,0.089
0.665225,-0.1517,-0.0377,0.0527,0.165
0.669732,-0.2287,-0.0873,-0.0403,0.248
0.675249,-0.0248,-0.3525,-0.1020,0.368
0.680613,0.3323,-0.5347,-0.0281,0.630
0.684770,0.3645,-0.3859,0.1101,0.542
0.695675,0.2464,-0.1990,0.1478,0.350
0.697713,0.1512,-0.0099,0.1229,0.195
0.702773,0.1065,0.0897,0.0083,0.140
0.716970,0.1288,0.1316,-0.1126,0.216
0.719464,0.1537,0.0947,-0.1924,0.264
0.720208,0.1265,0.0154,-0.1531,0.199
0.720686,0.1880,-0.0586,-0.0856,0.215
0.726895,0.1783,-0.1296,0.0003,0.220
0.730553,0.1429,-0.1977,-0.0215,0.245
0.734113,0.1031,-0.2984,-0.0124,0.316
0.739357,0.0616,-0.4125,-0.0061,0.417
0.744284,-0.1224,-0.4639,-0.0071,0.480
0.748442,-0.3218,-0.3941,0.0202,0.509
0.755272,-0.4525,-0.2646,0.0403,0.526
0.758670,-0.5529,-0.2070,0.1368,0.606
0.763890,-0.4578,-0.1564,0.0921,0.493
0.768244,-0.2795,-0.0988,0.0928,0.311
0.773966,0.1793,-0.0270,0.2108,0.278
0.778654,0.3135,0.0279,0.5350,0.621
0.783795,0.0846,0.0993,0.6780,0.690
0.798317,-0.1152,0.0893,0.6785,0.694
0.799482,-0.1329,0.0170,0.4934,0.511
0.799955,-0.1698,0.0189,0.1247,0.212
0.812561,-0.0560,-0.1107,0.4433,0.460
0.813793,0.3649,-0.0130,-0.3200,0.486
0.814237,-0.2645,0.4337,-1.6244,1.702
0.818697,0.1421,0.3994,-0.1060,0.437
0.835283,-0.3521,0.7908,-1.4099,1.654
0.837813,0.1388,0.6200,-0.1583,0.655
0.838439,0.2082,0.4014,0.3628,0.580
0.838908,-0.3331,0.5348,-1.0018,1.183
0.843654,0.5643,-0.0758,1.0749,1.216
0.848788,0.3979,-0.2051,0.3805,0.588
0.853496,-0.7016,0.3282,-1.6541,1.826
0.862816,0.0268,-0.0812,0.3263,0.337
0.864514,-0.4375,0.2131,-0.8412,0.972
0.868725,-0.3837,0.3686,-1.1961,1.309
0.875102,-0.1731,0.2896,-0.3291,0.471
0.878701,0.2185,0.0648,0.3869,0.449
0.884154,0.9702,-0.3489,1.3888,1.730
0.894019,0.6452,-0.2411,1.0403,1.248
0.897378,-0.7962,0.4285,-0.7022,1.145
0.899620,-1.2817,0.5404,-0.7501,1.580
0.904118,-0.9173,0.1764,-0.4611,1.042
0.909519,-0.1664,-0.1106,-0.3690,0.420
0.912878,0.4196,-0.1199,-0.2031,0.481
0.918990,0.7080,-0.0217,-0.0517,0.710
0.931118,0.5644,-0.0169,0.0615,0.568
0.932985,0.1078,0.0763,-0.3430,0.368
0.933756,-1.7659,0.8778,-2.2510,2.993
0.940231,-1.2549,0.2033,-1.0792,1.668
0.949147,-0.2145,-0.3889,0.0090,0.444
0.950115,0.3986,-0.6746,1.4657,1.662
0.952564,0.4956,-0.7332,2.2681,2.435
0.958215,-0.7352,0.2101,0.0646,0.767
0.962677,-0.3929,0.6499,-0.3048,0.818
0.967069,0.2587,0.8430,0.1282,0.891
0.972574,0.7884,0.8684,-0.1513,1.183
0.978960,1.0388,0.5113,-0.3153,1.200
0.982752,0.9874,-0.0773,-0.1781,1.006
0.990004,0.6874,-0.3805,-0.0913,0.791
0.994349,0.3066,-0.2578,0.1389,0.424
0.997256,-0.0667,-0.0133,0.2018,0.213
1.001885,-0.3250,0.0874,0.0735,0.345
