time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012315,0.4176,-0.1754,-0.0430,0.455
0.013299,0.2100,-0.2362,0.1787,0.363
0.013778,0.0060,-0.3070,0.2929,0.424
0.023636,-0.0754,-0.3733,0.3618,0.525
0.024453,-0.0853,-0.4186,0.4195,0.599
0.024938,-0.0620,-0.4384,0.4660,0.643
0.025279,-0.0706,-0.4187,0.5661,0.708
0.027099,-0.0251,-0.4049,0.6480,0.765
0.037340,0.0288,-0.3781,0.7097,0.805
0.038133,0.0458,-0.3313,0.7964,0.864
0.042951,0.0118,-0.2620,0.8460,0.886
0.047893,-0.0923,-0.2015,0.8517,0.880
0.054294,-0.2349,-0.1685,0.8394,0.888
0.057064,-0.4164,-0.1888,0.8047,0.925
0.061888,-0.4916,-0.2454,0.7330,0.916
0.066719,-0.4396,-0.3234,0.6198,0.826
0.074299,-0.3376,-0.3367,0.5126,0.700
0.076421,-0.2279,-0.3091,0.3181,0.499
0.081475,-0.1319,-0.2691,0.1673,0.343
0.087701,-0.0662,-0.1951,0.0458,0.211
0.092089,-0.0522,-0.1157,-0.0111,0.127
0.097000,-0.0562,-0.0689,-0.0562,0.105
0.103255,-0.0828,-0.0354,-0.0825,0.122
0.107120,-0.0960,-0.0582,-0.1353,0.176
0.111094,-0.1218,-0.0729,-0.1572,0.212
0.116219,-0.1387,-0.0581,-0.1580,0.218
0.128574,-0.0246,-0.0547,-0.1137,0.129
0.129705,0.1418,-0.0750,-0.0746,0.177
0.133503,0.3107,-0.1242,-0.0428,0.337
0.152015,0.3681,-0.1429,-0.0516,0.398
0.152810,0.2834,-0.0834,-0.1034,0.313
0.153197,0.0977,0.0232,-0.2313,0.252
0.153537,-0.0549,0.1101,-0.3806,0.400
0.172223,-0.1558,0.1466,-0.5440,0.585
0.172875,-0.2170,0.1955,-0.6146,0.680
0.173190,-0.2772,0.2640,-0.6093,0.720
0.173473,-0.3967,0.3309,-0.5524,0.756
0.181806,-0.4614,0.4799,-0.4414,0.799
0.182393,-0.5681,0.5888,-0.2738,0.863
0.194855,-0.5377,0.6358,-0.0995,0.839
0.195877,-0.3322,0.5845,0.1513,0.689
0.196382,-0.0396,0.4369,0.3497,0.561
0.201018,0.2021,0.2664,0.4675,0.575
0.213189,0.2840,0.0943,0.3692,0.475
0.214022,0.3431,-0.0719,0.1387,0.377
0.216471,0.4394,-0.1864,-0.1216,0.493
0.231852,0.5140,-0.2583,-0.4432,0.726
0.232737,0.5789,-0.2462,-0.7074,0.947
0.233207,0.5746,-0.1833,-0.8622,1.052
0.236705,0.4556,-0.1004,-0.8247,0.948
0.250840,0.2113,0.1197,-0.6406,0.685
0.251884,-0.1517,0.3357,-0.5250,0.641
0.252388,-0.3396,0.4643,-0.5324,0.784
0.267281,-0.2621,0.4080,-0.4287,0.647
0.268339,-0.0871,0.2550,-0.2471,0.366
0.268874,0.0447,0.0905,-0.1282,0.163
0.282761,0.1462,-0.0359,0.1170,0.191
0.283902,0.2418,-0.1635,0.3597,0.463
0.284375,0.3370,-0.3005,0.5815,0.736
0.286559,0.3558,-0.3592,0.7970,0.944
0.316235,0.2256,-0.3112,1.0329,1.102
0.317143,-0.0407,-0.1754,1.0149,1.031
0.317457,-0.4075,-0.0847,0.9056,0.997
0.317764,-0.5725,-0.0883,0.8315,1.013
0.318081,-0.5298,-0.0208,0.4433,0.691
0.318384,-0.4107,0.0651,0.1999,0.461
0.327515,-0.2728,0.1578,0.0172,0.316
0.328263,-0.0976,0.2604,-0.1413,0.312
0.334834,0.0723,0.3329,-0.4002,0.526
0.335746,0.2065,0.3228,-0.4515,0.592
0.340361,0.2786,0.2777,-0.3410,0.521
0.345184,0.1928,0.2193,-0.2695,0.397
0.349859,0.0592,0.0832,-0.3346,0.350
0.355703,0.0455,-0.0870,-0.5626,0.571
0.361611,0.2913,-0.2675,-0.6859,0.792
0.366122,0.3902,-0.3128,-0.6642,0.831
0.370185,0.2537,-0.2164,-0.5382,0.633
0.375462,0.1940,-0.1122,-0.6065,0.647
0.380083,0.1603,-0.0181,-1.1102,1.122
0.384961,-0.1376,0.1426,-1.1105,1.128
0.392167,-0.7561,0.3956,-0.8664,1.216
0.395452,-1.5309,0.6545,-0.7124,1.811
0.400268,-1.7586,0.8023,-0.7053,2.058
0.406220,-1.7384,0.9329,-0.9524,2.191
0.410099,-1.8814,1.0540,-1.2458,2.490
0.415243,-1.7923,1.1085,-1.4232,2.543
0.421547,-1.6816,1.0298,-1.5900,2.533
0.424851,-1.7661,0.9354,-1.7346,2.646
0.429807,-1.8391,0.7943,-2.0717,2.882
0.434513,-1.9419,0.7782,-2.3455,3.143
0.439544,-2.0735,0.7097,-2.4652,3.299
0.445258,-2.2281,0.6492,-2.6941,3.556
0.449794,-2.3797,0.5869,-2.7741,3.702
0.455467,-2.6653,0.6423,-2.8889,3.983
0.461116,-3.0540,0.7582,-2.9980,4.346
0.464659,-3.2503,0.6886,-3.0511,4.511
0.469635,-3.2903,0.5223,-3.3061,4.693
0.474914,-3.3255,0.5176,-3.5424,4.886
0.479706,-3.4193,0.7368,-3.6724,5.072
0.484904,-3.4061,0.9920,-3.5858,5.044
0.498924,-3.3147,1.2631,-3.2968,4.843
0.501506,-3.1791,1.5127,-2.9888,4.618
0.506306,-2.8164,1.7180,-2.6382,4.224
0.510000,-2.6631,1.7448,-2.8368,4.264
0.510890,-2.5137,1.7059,-3.4421,4.591
0.522853,-2.3895,1.5816,-3.9674,4.894
0.527828,-2.1743,1.2068,-4.5977,5.227
0.528408,-2.0437,0.7241,-5.2280,5.660
0.530163,-1.8669,0.2234,-6.0473,6.333
0.534033,-1.8076,-0.3865,-6.0566,6.332
0.539233,-2.0446,-0.7180,-5.4194,5.837
0.544670,-2.1517,-1.0154,-4.7426,5.306
0.549984,-2.1080,-1.1096,-3.7696,4.459
0.556662,-1.2068,-0.7848,-2.8111,3.158
0.558836,-0.3190,-0.3828,-2.2176,2.273
0.565830,0.1291,-0.1526,-1.9572,1.967
0.569059,0.2151,-0.1230,-1.6878,1.706
0.574190,0.0170,-0.2216,-1.4789,1.496
0.579980,-0.3715,0.0888,-1.4379,1.488
0.584201,-0.0177,-0.1549,-1.7554,1.762
0.595197,0.3150,-0.5175,-2.2142,2.296
0.597716,0.5289,-0.8702,-2.6765,2.864
0.599925,0.8214,-1.2114,-3.2843,3.596
0.603937,1.3147,-1.4633,-3.8061,4.284
0.618555,1.8015,-1.7824,-4.1996,4.905
0.620798,1.9931,-1.8895,-4.5313,5.299
0.622015,2.1395,-1.9640,-4.6786,5.507
0.627783,2.3616,-2.0019,-4.8394,5.745
0.630141,2.5894,-2.0014,-4.8384,5.841
0.633602,2.7646,-1.9968,-4.7298,5.831
0.639660,2.8743,-2.1037,-4.4299,5.684
0.643551,2.8886,-2.2408,-4.0747,5.474
0.648404,2.8668,-2.3367,-3.7270,5.251
0.652860,2.7066,-2.4634,-3.3515,4.962
0.658688,1.8587,-2.5235,-2.9443,4.300
0.664496,0.7849,-2.7689,-2.7286,3.966
0.668176,0.5197,-3.2873,-2.4440,4.129
0.673836,0.9806,-3.5068,-2.7578,4.568
0.678693,1.4196,-3.4457,-3.0179,4.795
0.683185,1.7087,-3.4523,-3.2405,5.034
0.691469,1.9408,-3.0927,-3.8100,5.277
0.695493,2.1196,-2.5238,-4.5419,5.612
0.698469,2.3047,-2.1635,-4.8881,5.821
0.702724,2.5912,-2.0323,-4.8772,5.885
0.709109,2.9537,-2.1913,-4.7469,6.005
0.714492,3.3225,-2.7069,-4.6008,6.288
0.717850,3.1473,-3.5568,-4.2136,6.349
0.730614,2.8097,-3.9336,-4.4860,6.595
0.743132,2.7170,-4.0752,-4.2499,6.485
0.745283,2.6802,-4.6193,-4.2483,6.824
0.746694,2.3912,-5.0164,-4.0738,6.890
0.747382,1.9013,-5.2027,-3.4222,6.511
0.754950,1.4681,-5.3598,-2.3412,6.030
0.757362,1.1321,-5.4084,-1.1386,5.642
0.759799,0.8925,-5.2958,-0.0671,5.371
0.762330,0.6297,-5.0802,0.9669,5.210
0.767299,0.2456,-4.8354,1.8419,5.180
0.773036,-0.2093,-4.5793,2.5346,5.238
0.777681,-0.3860,-4.2702,2.8421,5.144
0.783187,-0.3872,-4.0051,2.8484,4.930
0.788319,-0.4324,-3.8799,2.6738,4.732
0.793360,-0.5335,-3.8127,2.1168,4.393
0.797468,-0.5748,-3.7263,1.1331,3.937
0.802153,-0.4556,-3.6171,-0.1975,3.651
0.808468,-0.2938,-3.6189,-1.5741,3.957
0.812204,-0.2050,-3.8045,-2.6418,4.636
0.817567,-0.1332,-4.1670,-3.1902,5.250
0.824357,-0.1055,-4.6655,-3.2661,5.696
0.827931,-0.1505,-5.0835,-2.8462,5.828
0.832197,-0.1773,-5.2710,-2.1767,5.706
0.837261,-0.0605,-5.3295,-1.3132,5.489
0.842608,-0.1945,-5.2938,-0.3986,5.312
0.847322,-0.2820,-4.9585,0.4798,4.990
0.851732,-0.4498,-4.4075,1.2387,4.600
0.862354,-1.3897,-3.8898,1.8843,4.540
0.864244,-2.3220,-3.6367,2.4349,4.954
0.867412,-2.9804,-3.6411,2.9633,5.561
0.877343,-3.7300,-3.8251,3.3639,6.313
0.878988,-4.3675,-3.9488,3.6011,6.902
0.884474,-5.0039,-3.8565,3.6782,7.310
0.886573,-5.4167,-3.6426,3.7050,7.506
0.891980,-5.2718,-3.5662,3.5812,7.303
0.896687,-4.9422,-3.6617,3.3014,6.981
0.902035,-4.4355,-3.6469,2.9992,6.478
0.907612,-4.0702,-3.5236,2.8031,6.070
0.911869,-3.6429,-3.4270,2.4114,5.552
0.916407,-2.9868,-3.3290,1.8127,4.826
0.921453,-2.1582,-3.3039,1.1716,4.117
0.927068,-1.4896,-3.4876,0.5480,3.832
0.933069,-0.8097,-3.6368,0.0074,3.726
0.936571,-0.5322,-3.7071,-0.3816,3.764
0.942157,-0.6803,-3.7075,-0.6960,3.833
0.946813,-0.9332,-3.6668,-0.8701,3.882
0.951494,-1.2407,-3.6768,-0.9366,3.992
0.957774,-1.4502,-3.7379,-0.8950,4.108
0.965001,-1.6098,-3.7781,-0.8648,4.197
0.968242,-1.7218,-3.8891,-0.7575,4.320
0.971613,-1.7672,-4.0051,-0.4206,4.398
0.979123,-1.7097,-3.9077,0.0506,4.266
0.985438,-1.6639,-3.8734,0.5607,4.253
0.988516,-1.4859,-3.7986,0.9905,4.197
1.000956,-1.3218,-3.6970,1.2965,4.135
1.006569,-1.3980,-3.5366,1.4834,4.082
1.008176,-1.7017,-3.2639,1.5878,4.009
1.009043,-1.9498,-2.9357,1.5740,3.860
1.019083,-2.1282,-2.8574,1.5694,3.893
1.020985,-2.3894,-2.9613,1.5722,4.117
1.021664,-2.9428,-3.0457,1.4177,4.466
1.029351,-3.6610,-3.0723,1.1757,4.922
1.031542,-4.3085,-3.1029,0.8738,5.381
1.036287,-4.6340,-3.0517,0.4194,5.564
1.041534,-4.6523,-3.0263,-0.0053,5.550
1.045204,-4.4701,-3.0957,-0.2727,5.444
1.051987,-4.1933,-3.2422,-0.4762,5.322
1.056699,-3.9136,-3.4331,-0.6116,5.242
1.060900,-3.7125,-3.6612,-0.6635,5.256
1.066338,-3.5210,-3.8101,-0.9219,5.269
1.070496,-3.3034,-3.8633,-1.0041,5.181
1.075350,-3.2390,-3.9259,-1.1772,5.224
1.081334,-3.2438,-3.9167,-1.1569,5.215
1.085092,-3.2208,-3.7506,-1.1332,5.072
1.091024,-3.3489,-3.6052,-0.9536,5.012
1.096129,-3.5223,-3.3860,-0.7694,4.946
1.100416,-3.7939,-3.1400,-0.4911,4.949
1.104608,-4.1624,-2.8999,-0.2919,5.081
1.110502,-4.5509,-2.6306,-0.1501,5.259
1.115906,-4.9294,-2.3715,0.0268,5.470
1.120846,-5.2243,-2.0958,0.1488,5.631
1.130331,-5.4897,-1.8716,0.3108,5.808
1.133076,-5.6798,-1.6490,0.5268,5.938
1.136763,-5.8608,-1.5027,0.8601,6.111
1.140071,-5.9688,-1.3673,1.2085,6.242
1.150706,-5.9634,-1.0250,1.3278,6.195
1.151868,-6.1167,-0.8351,1.6553,6.392
