time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006829,0.5128,0.0040,-1.3259,1.422
0.007600,0.4867,0.0746,-1.7526,1.820
0.014838,0.4327,0.1392,-1.6833,1.744
0.015718,0.3839,0.1612,-1.6664,1.718
0.016235,0.3935,0.1110,-1.5594,1.612
0.031225,0.3101,0.0910,-1.5464,1.580
0.031712,0.2870,0.0936,-1.5625,1.591
0.031887,0.2489,0.0665,-1.7009,1.720
0.039734,0.2165,0.0461,-1.8534,1.867
0.040200,0.2413,0.0257,-2.0055,2.020
0.046052,0.2647,-0.0059,-1.9685,1.986
0.056714,0.3033,-0.0437,-1.6280,1.657
0.057278,0.2419,0.0726,-1.2187,1.245
0.061268,0.3427,0.1701,-0.4156,0.565
0.073869,0.1933,0.2384,0.2944,0.425
0.074215,0.0729,0.2810,0.9291,0.973
0.074460,-0.4093,0.2957,0.9120,1.042
0.080046,-0.7774,0.1910,0.6799,1.050
0.090354,-0.9777,0.0513,0.7109,1.210
0.090885,-1.3942,-0.0243,0.4385,1.462
0.094901,-1.3987,-0.1096,0.4739,1.481
0.132026,-1.3602,-0.0692,0.6490,1.509
0.132818,-1.3063,-0.0326,0.5837,1.431
0.133357,-1.1405,0.0001,0.5077,1.248
0.133736,-0.9697,0.0506,0.3801,1.043
0.134006,-0.8080,0.0688,0.3179,0.871
0.134281,-0.6686,0.1279,0.3374,0.760
0.134541,-0.5634,0.1922,0.3121,0.672
0.134806,-0.5144,0.2931,0.2942,0.661
0.147747,-0.4922,0.3463,0.3770,0.710
0.149288,-0.5525,0.4380,0.4909,0.859
0.150093,-0.5560,0.4800,0.7099,1.021
0.166675,-0.5043,0.4671,0.9668,1.186
0.167754,-0.4976,0.4060,1.2665,1.420
0.168130,-0.4931,0.3422,1.2106,1.351
0.190693,-0.3895,0.1857,1.2583,1.330
0.191726,-0.3412,-0.0584,1.2350,1.283
0.192066,-0.2885,-0.2800,1.1123,1.183
0.192466,-0.1195,-0.5439,0.8070,0.981
0.192804,0.0826,-0.7933,0.5057,0.944
0.198014,0.1708,-0.9423,0.3893,1.034
