time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006431,-0.0307,0.0410,0.0209,0.055
0.007555,0.0413,0.0191,0.0289,0.054
0.008002,0.1131,0.0758,0.0774,0.157
0.018052,0.0729,0.1319,0.1543,0.216
0.018867,0.0067,0.0760,0.1240,0.146
0.019223,-0.0067,-0.0555,0.0442,0.071
0.039347,-0.0320,-0.1835,-0.0186,0.187
0.039916,-0.0954,-0.2059,0.0141,0.227
0.040186,-0.6510,0.1020,0.1225,0.670
0.040457,-1.0686,0.3172,-0.2400,1.140
0.045762,-0.4471,-0.1229,-0.3190,0.563
0.050862,0.0656,-0.2726,0.0434,0.284
0.056631,0.1907,-0.1381,0.0132,0.236
0.063323,0.2103,0.0341,-0.1982,0.291
0.064556,0.2771,0.1270,-0.2660,0.405
0.070182,0.3198,0.1099,-0.2264,0.407
0.073886,0.2837,0.0857,-0.1156,0.318
0.079250,0.1719,0.0496,0.0497,0.186
0.084259,0.0488,0.0423,0.1000,0.119
0.090087,-0.0068,0.0063,0.0286,0.030
0.094904,-0.0289,-0.0247,-0.0212,0.044
0.099017,-0.0510,-0.0389,-0.1067,0.124
0.106392,-0.0158,-0.0507,-0.0751,0.092
0.109299,0.0240,-0.0433,-0.0366,0.062
0.114040,0.0351,-0.0551,0.0114,0.066
0.119003,-0.0278,0.0096,-0.0053,0.030
0.136453,-0.0644,0.0334,0.0258,0.077
0.137830,-0.0961,0.0310,-0.0147,0.102
0.138621,-0.1111,0.0309,-0.0504,0.126
0.154047,-0.0499,0.0046,-0.0358,0.062
0.155188,-0.0389,0.0309,-0.0499,0.070
0.155635,-0.0470,0.0141,-0.0520,0.072
0.155975,0.0331,0.0141,-0.0900,0.097
0.166907,0.1108,0.0332,-0.0540,0.128
0.167751,0.1787,0.0523,-0.0038,0.186
0.168439,0.1749,0.0521,-0.0182,0.183
0.190392,0.1307,0.0186,-0.0326,0.136
0.191479,0.0915,-0.0363,-0.1116,0.149
0.191821,0.0168,-0.0480,-0.0854,0.099
0.192106,0.0474,-0.0263,-0.0045,0.054
0.200359,0.0876,-0.0118,0.0284,0.093
0.201097,0.0465,0.0240,0.0542,0.075
0.203168,-0.0446,0.0240,0.0514,0.072
0.214212,-0.1404,0.0025,0.0510,0.149
0.214853,-0.1861,-0.0261,0.0841,0.206
0.218019,-0.1576,-0.0593,0.1149,0.204
0.231868,-0.1077,-0.0567,0.1243,0.174
0.233294,-0.0676,0.0031,0.0168,0.070
0.233670,0.0081,0.0533,-0.0929,0.107
0.251501,0.0907,0.0698,-0.1308,0.174
0.252486,0.1756,0.0219,-0.1017,0.204
0.252847,0.2223,-0.0163,-0.1062,0.247
0.253172,0.2428,-0.0401,-0.1204,0.274
0.265880,0.2184,0.0054,-0.1896,0.289
0.268220,0.1725,0.1009,-0.0511,0.206
0.268641,0.0981,0.1173,-0.0656,0.166
0.283508,0.0120,0.0811,-0.0897,0.122
0.284340,-0.0093,0.0022,-0.0351,0.036
0.284661,-0.1859,-0.0193,-0.0284,0.189
0.308076,-0.3488,-0.0499,0.1185,0.372
0.309445,-0.1468,-0.1301,0.0957,0.218
0.310579,-0.1648,-0.0649,-0.1644,0.242
0.311811,-0.1091,0.0521,-0.2398,0.269
0.312450,-0.0044,0.1468,-0.1701,0.225
0.313008,0.3396,-0.1155,0.1414,0.386
0.318797,-0.1599,0.0375,0.2988,0.341
0.335783,-0.2521,0.2154,-0.2429,0.411
0.338163,0.1007,0.2136,-0.1487,0.279
0.338871,0.5152,-0.1298,-0.5626,0.774
0.339341,0.0867,-0.1747,0.8613,0.883
0.355037,-1.0175,-0.0452,0.2382,1.046
0.356434,0.7920,-0.4388,-0.5653,1.067
0.357635,0.6207,-0.1581,0.1729,0.663
0.358230,-0.0614,-0.1074,0.0735,0.144
0.367521,0.0626,-0.0615,-0.2718,0.286
0.368515,0.2056,-0.0015,-0.1174,0.237
0.385661,0.0046,-0.0181,0.1344,0.136
0.387291,-0.2076,0.0442,0.1614,0.267
0.387914,-0.0032,0.2517,0.0931,0.268
0.388383,-0.0187,0.3321,0.0229,0.333
0.415040,-0.3740,0.1306,0.0509,0.399
0.417742,-0.3048,-0.3160,0.1433,0.462
0.418432,-0.1785,-0.2481,0.1926,0.361
0.419278,-0.7598,-0.1374,0.2494,0.811
0.419922,-0.6116,-0.0701,0.0601,0.619
0.420679,-0.3658,-0.0697,0.0313,0.374
0.429267,-0.2690,-0.0002,0.1508,0.308
0.430587,0.1067,-0.0025,0.0694,0.127
0.432399,0.4003,0.0167,-0.0571,0.405
0.437309,0.5479,0.0501,-0.1593,0.573
0.442724,0.5931,0.0834,-0.1253,0.612
0.448025,0.5241,0.1381,-0.1296,0.557
0.451506,0.2884,0.1091,-0.1148,0.329
0.458312,0.1775,0.0944,-0.0785,0.216
0.461894,0.0121,0.0631,-0.0090,0.065
0.465644,0.0671,0.0486,0.0724,0.110
0.472033,-0.1097,0.1248,0.1635,0.233
0.476469,-0.4036,0.2794,0.3530,0.605
0.483896,-0.8144,0.4933,0.4688,1.061
0.486354,-0.4441,0.1647,-0.1796,0.507
0.491881,-0.0677,0.0591,-0.0001,0.090
0.497523,-0.3327,-0.0391,0.0596,0.340
0.501633,-0.3685,-0.1226,-0.0313,0.390
0.516440,-0.1655,-0.1557,-0.1484,0.271
0.518104,0.1379,-0.0932,-0.2918,0.336
0.523961,0.3506,0.0479,-0.3638,0.507
0.525398,0.5847,0.2197,-0.2545,0.674
0.537598,0.7278,0.2357,-0.0857,0.770
0.538700,0.7279,0.0798,-0.0702,0.736
0.539094,0.6523,-0.0948,-0.2030,0.690
0.541757,0.4534,-0.0922,-0.2308,0.517
0.546001,0.2695,-0.0873,-0.1274,0.311
0.550974,0.1051,-0.0656,-0.0554,0.136
0.555242,-0.0374,-0.0106,-0.0602,0.072
0.561897,-0.1702,0.0443,-0.0912,0.198
0.565942,-0.3006,0.0752,-0.1556,0.347
0.570800,-0.3975,0.0034,-0.1865,0.439
0.576609,-0.3634,-0.0992,-0.0886,0.387
0.581109,-0.2768,-0.1561,-0.0342,0.320
0.586512,-0.1380,-0.0314,0.0106,0.142
0.593182,0.0198,-0.0050,-0.0091,0.022
0.595712,-0.0692,-0.0168,-0.0098,0.072
0.600709,0.1070,-0.0286,0.0229,0.113
0.605651,0.4242,0.1053,0.0508,0.440
0.611702,0.3062,0.1504,0.0408,0.344
0.616022,0.0859,-0.0291,0.0883,0.127
0.620870,0.1359,-0.1245,-0.0888,0.205
0.626977,-0.4572,-0.3175,-0.1393,0.574
0.632188,-0.1554,0.1490,0.3216,0.387
0.635810,-0.0358,-0.0949,0.2564,0.276
0.642505,-0.1196,-0.0135,0.1485,0.191
0.645888,-0.8049,-0.0754,0.0720,0.812
0.650271,-0.1180,0.9182,-0.0206,0.926
0.654849,0.5770,0.8846,0.0646,1.058
0.666627,-0.2938,0.4523,-0.4140,0.680
0.667724,-0.5146,0.2314,-0.3808,0.681
0.670066,0.1528,-0.2897,0.0200,0.328
0.675077,0.4897,-0.7737,0.4414,1.017
0.680416,0.0211,-0.5807,0.1097,0.591
0.684718,-0.2245,-0.2543,-0.3079,0.458
0.690112,-0.0872,-0.0411,-0.1732,0.198
0.695393,0.0574,0.0499,0.2166,0.230
0.702149,0.1041,0.0784,0.3910,0.412
0.704810,-0.0740,0.0590,0.3029,0.317
0.710468,-0.1994,0.0182,0.0936,0.221
0.715421,-0.2606,0.0014,-0.0888,0.275
0.720038,-0.1955,-0.1109,-0.1133,0.252
0.726226,-0.0303,-0.1679,-0.0424,0.176
0.730335,0.0010,-0.1722,0.0067,0.172
0.735507,-0.1112,-0.0714,-0.0137,0.133
0.740291,0.0851,-0.1118,-0.0269,0.143
0.746282,0.1807,-0.0638,0.0008,0.192
0.750185,0.1807,0.0009,-0.1483,0.234
0.754538,0.3314,0.0128,-0.2065,0.391
0.767507,0.2406,0.0199,-0.1763,0.299
0.768617,0.1764,0.0557,-0.1105,0.215
0.773246,0.3064,0.0365,-0.1263,0.333
0.774117,-0.0009,0.1247,-0.1972,0.233
0.779141,-0.1429,0.1531,-0.2563,0.331
0.784390,-0.1845,0.1290,-0.2437,0.332
0.788999,-0.0829,0.1694,-0.0759,0.203
0.798732,0.3009,0.1284,0.0344,0.329
0.799707,0.3618,0.1066,0.0680,0.383
0.803838,-0.0676,0.1493,0.0444,0.170
0.809549,-0.0044,0.0941,0.0016,0.094
